"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.025465","22,114","0.026590","22,803","0.001125","[-0.001807, +0.004056]","0.044167","[-7.0959%, +15.9293%]","0.452097","-","0.008256","0.000405","0.000009"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.018694","152,393","0.018511","154,344","-0.000182","[-0.000907, +0.000542]","-0.009751","[-4.8516%, +2.9013%]","0.621993","-","0.104160","-0.000826","-0.000019"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.032629","247,885","4.025967","251,900","-0.004221","[-0.023035, +0.014594]","-0.001047","[-0.5712%, +0.3619%]","0.660170","-","0.124106","-0.000124","-0.000523"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.581217","22,112","3.567619","22,805","-0.013596","[-0.060711, +0.033519]","-0.003797","[-1.6953%, +0.936%]","0.571664","-","0.008256","-0.000027","-0.000112"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.960996","152,390","3.954445","154,344","-0.005828","[-0.028069, +0.016414]","-0.001471","[-0.7086%, +0.4144%]","0.607574","-","0.104156","-0.000148","-0.000607"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","3.924818","166,854","3.914841","169,486","-0.009120","[-0.030301, +0.012062]","-0.002324","[-0.772%, +0.3073%]","0.398746","-","0.107960","-0.000240","-0.000984"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","4.042141","2,962","4.021715","3,080","0.004052","[-0.16023, +0.168333]","0.001002","[-3.964%, +4.1645%]","0.961446","-","0.001688","0.000002","0.000006"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.196340","4,689","4.286235","4,687","0.083731","[-0.03639, +0.203852]","0.019953","[-0.8672%, +4.8578%]","0.171873","-","0.002776","0.000057","0.000235"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","3.939228","149,228","3.931738","149,162","-0.010618","[-0.032662, +0.011426]","-0.002695","[-0.8291%, +0.2901%]","0.345147","-","0.090489","-0.000234","-0.000959"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","3.908087","37,845","3.902076","41,084","0.007064","[-0.037911, +0.052038]","0.001807","[-0.9701%, +1.3316%]","0.758211","-","0.022004","0.000038","0.000155"
