"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"cx_app_quality_page_load_error_android","Metric","N/A","","mean","0.003741","2,314","0.004359","2,448","0.000591","[-0.000468, +0.00165]","0.157975","[-12.4963%, +44.0913%]","0.273814","-","0.000513","0.000000","0.000000"
"cx_app_quality_page_load_error_ios","Metric","N/A","","mean","0.001232","402,387","0.001249","401,929","0.000017","[-0.000027, +0.000062]","0.013941","[-2.2112%, +4.9994%]","0.448526","-","0.020422","0.000000","0.000000"
"cx_app_quality_page_load_error_web","Metric","N/A","","mean","0.008102","5,779","0.006157","5,807","-0.001911","[-0.003866, +0.000044]","-0.235879","[-47.7154%, +0.5396%]","0.055349","-","0.002042","-0.000458","-0.000004"
"cx_app_quality_page_load_latency_android","Metric","N/A","","mean","0.020791","2,311","0.020420","2,439","-0.000262","[-0.003142, +0.002618]","-0.012598","[-15.1121%, +12.5926%]","0.858533","-","0.000559","0.000000","0.000000"
"cx_app_quality_page_load_latency_ios","Metric","N/A","","mean","0.023111","403,652","0.023380","403,167","0.000247","[+0.000051, +0.000442]","0.010668","[+0.2215%, +1.9121%]","0.013382","Significant","0.025440","0.000192","0.000006"
"cx_app_quality_page_load_latency_web","Metric","N/A","","mean","0.038176","3,336","0.034727","3,512","-0.003730","[-0.009135, +0.001674]","-0.097717","[-23.929%, +4.3857%]","0.176118","-","0.003024","-0.000162","-0.000011"
"cx_app_quality_tbt_web","Metric","N/A","","mean","0.096061","5,599","0.088759","5,622","-0.002995","[-0.014902, +0.008912]","-0.031179","[-15.5135%, +9.2776%]","0.622011","-","0.002561","-0.000044","-0.000008"
"dashpass_paid_balance","Metric","N/A","","mean","0.231871","409,306","0.231064","408,684","-0.000057","[-0.001109, +0.000995]","-0.000247","[-0.4785%, +0.4291%]","0.915131","-","0.010015","-0.000002","-0.000001"
"dashpass_signup","Metric","N/A","","mean","0.044732","409,306","0.044467","408,684","-0.000261","[-0.001165, +0.000644]","-0.005825","[-2.6039%, +1.4388%]","0.572176","-","0.028365","-0.000165","-0.000157"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.033923","304,187","0.032247","303,276","-0.001705","[-0.002444, -0.000966]","-0.050270","[-7.206%, -2.8481%]","0.000006","Significant","0.017425","-0.000952","-0.000030"
"consumer_country_Australia","Dimension","dbd_attach_rate_post_checkout","","mean","0.031142","102,245","0.029877","101,376","-0.001350","[-0.002739, +0.000039]","-0.043355","[-8.7949%, +0.1238%]","0.056709","-","0.006055","-0.000264","-0.000008"
"consumer_country_Canada","Dimension","dbd_attach_rate_post_checkout","","mean","0.035230","192,413","0.033352","192,496","-0.001844","[-0.002717, -0.000972]","-0.052344","[-7.711%, -2.7577%]","0.000034","Significant","0.010882","-0.000641","-0.000020"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.039288","304,187","0.042325","303,276","0.002986","[+0.002128, +0.003844]","0.076007","[+5.416%, +9.7853%]","0.000000","Significant","0.017425","0.001251","0.000052"
"consumer_country_Australia","Dimension","dbd_attach_rate_pre_and_post","","mean","0.035540","102,245","0.038694","101,376","0.003003","[+0.001479, +0.004526]","0.084494","[+4.1627%, +12.736%]","0.000112","Significant","0.006055","0.000441","0.000018"
