Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.07170721,0.00624432,-0.00143422,0.01392286,0.00018807,0.0004448,-0.00010216,0.00099175,2.1e-6,0.11096349,-0.00583154,0.01832019,-0.00041539,0.00130498,0.80940234,1425211,2025-08-25 20:04:53
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.67281137,,,,,,,,,,,,,,,407,2025-08-25 20:04:16
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.0374661,,,,,,,,,,,,,,,485390,2025-08-25 20:04:23
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.01348396,,,,,,,,,,,,,,,10957198,2025-08-25 20:04:53
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00567719,-0.00643785,-0.01726606,0.00439035,-0.00248942,-0.00003678,-0.00009866,0.00002509,-0.00001879,0.24390319,-0.02346712,0.01059142,-0.00013409,0.00006052,1.0,2369965,2025-08-25 20:04:16
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.03742619,0.00391996,-0.01631453,0.02415445,0.00105264,0.00014687,-0.00061124,0.00090497,0.00003868,0.70417034,-0.02790236,0.03574228,-0.00104539,0.00133912,1.0,470199,2025-08-25 20:04:23
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00040136,-0.0118188,-0.04320931,0.01957171,-0.00209024,-4.8e-6,-0.00001755,7.95e-6,-2.38e-6,0.46054885,-0.06118593,0.03754833,-0.00002485,0.00001525,1.0,2381861,2025-08-25 20:04:41
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.0375361,-0.00210671,-0.02404627,0.01983284,-0.0005707,-0.00007893,-0.00090092,0.00074306,-0.00002097,0.85071774,-0.03661054,0.03239712,-0.00137165,0.00121379,1.0,470265,2025-08-25 20:04:23
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00074426,0.2035737,-0.21575345,0.62290086,0.02284822,0.00016608,-0.00017602,0.00050818,0.00003674,0.34134173,-0.4558924,0.86303981,-0.00037193,0.00070409,1.0,475510,2025-08-25 20:04:22
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00291968,,,,,,,,,,,,,,,10999651,2025-08-25 20:04:51
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00040485,-0.00325206,-0.03479927,0.02829514,0.0,-1.32e-6,-0.00001413,0.00001149,0.0,0.83988215,-0.05286562,0.04636149,-0.00002147,0.00001883,1.0,2377772,2025-08-25 20:04:41
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00571385,,,,,,,,,,,,,,,2444352,2025-08-25 20:04:16
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.01348147,-0.00019748,-0.00330787,0.00291291,-0.00011384,-2.66e-6,-0.0000446,0.00003928,-1.27e-6,0.90096831,-0.00508911,0.00469416,-0.00006862,0.0000633,1.0,10641770,2025-08-25 20:04:53
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00081583,,,,,,,,,,,,,,,490916,2025-08-25 20:04:22
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00291688,-0.00091406,-0.00812152,0.00629339,-0.00043943,-2.67e-6,-0.00002371,0.00001837,-1.24e-6,0.80369644,-0.01224906,0.01042094,-0.00003576,0.00003043,1.0,10676070,2025-08-25 20:04:51
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00291887,-0.00027296,-0.00749573,0.0069498,0.0,-8e-7,-0.00002189,0.00002029,0.0,0.94095352,-0.01163204,0.01108611,-0.00003396,0.00003237,1.0,10682464,2025-08-25 20:04:51
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.01345331,-0.00236747,-0.00547314,0.00073821,-0.00136511,-0.00003192,-0.0000738,9.95e-6,-0.00001526,0.13515263,-0.00725169,0.00251675,-0.00009778,0.00003394,0.91557721,10635391,2025-08-25 20:04:53
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00125391,0.21271284,-0.50036958,0.92579527,0.02409301,0.00017354,-0.00040821,0.00075529,0.00003874,0.55877754,-0.90873538,1.33416107,-0.00074137,0.00108844,1.0,475562,2025-08-25 20:04:22
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00040617,,,,,,,,,,,,,,,2452282,2025-08-25 20:04:41
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00572173,0.00131149,-0.00959719,0.01222017,0.0005069,7.49e-6,-0.00005484,0.00006982,3.83e-6,0.81371542,-0.01584434,0.01846732,-0.00009053,0.00010552,1.0,2373982,2025-08-25 20:04:16
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_create_address,,control,0.02286618,,,,,,,,,,,,,,,2610900,2025-08-25 20:04:53
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_create_address,,treatment2,0.03012068,1.56412607,-1.07139119,4.19964333,0.0,0.01818787,-0.01245828,0.04883402,0.0,0.24474882,-2.58069093,5.70894306,-0.03000862,0.06638436,1.0,164,2025-08-25 20:04:16
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_create_address,,control,0.01162813,,,,,,,,,,,,,,,168,2025-08-25 20:04:16
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_create_address,,treatment1,0.00041192,0.00432849,-0.14639211,0.15504908,0.0,1.78e-6,-0.00006004,0.00006359,0.0,0.95511282,-0.2327063,0.24136327,-0.00009544,0.00009899,1.0,2560056,2025-08-25 20:04:51
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_create_address,,treatment1,0.02262436,-0.01047071,-0.0214358,0.00049437,-0.00019666,-0.00023943,-0.00049015,0.0000113,-2.2e-6,0.06126239,-0.02771525,0.00677382,-0.00063374,0.00015489,0.55077381,2532250,2025-08-25 20:04:53
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_create_address,,treatment2,0.02280012,-0.00285029,-0.01494196,0.00924137,0.0,-0.00006518,-0.00034167,0.00021131,0.0,0.64407395,-0.02186658,0.01616599,-0.00050001,0.00036965,1.0,2533794,2025-08-25 20:04:53
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_create_address,,treatment2,0.00032078,-0.1782165,-0.84865307,0.49222007,0.0,-0.00006622,-0.00031535,0.00018291,0.0,0.60236629,-1.23259657,0.87616358,-0.00045803,0.00032558,1.0,97755,2025-08-25 20:04:22
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_create_address,,treatment2,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,33,2025-08-25 20:04:41
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_create_address,,control,0.0,,,,,,,,,,,,,,,34,2025-08-25 20:04:41
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_create_address,,treatment1,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,36,2025-08-25 20:04:41
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_create_address,,control,0.00041015,,,,,,,,,,,,,,,2639972,2025-08-25 20:04:51
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_create_address,,treatment2,0.00043299,0.05569536,-0.10188114,0.21327186,0.0,0.00002284,-0.00004179,0.00008747,0.0,0.48846732,-0.19212155,0.30351227,-0.0000788,0.00012449,1.0,2561976,2025-08-25 20:04:51
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_create_address,,treatment1,0.00039994,0.02315053,-0.69396353,0.74026459,0.0,8.6e-6,-0.00025787,0.00027508,0.0,0.94954883,-1.10463815,1.15093922,-0.00041048,0.00042768,1.0,98052,2025-08-25 20:04:22
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_create_address,,control,0.00037159,,,,,,,,,,,,,,,100966,2025-08-25 20:04:22
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_create_address,,treatment1,0.04591825,2.923652,0.04175783,5.80554616,0.0,0.03399662,0.00048557,0.06750767,0.0,0.04677152,-1.60863625,7.45594025,-0.01870544,0.08669867,0.45991366,193,2025-08-25 20:04:16
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.00909479,,,,,,,,,,,,,,,494610,2025-08-25 20:04:23
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_delete_cart,,control,0.00052032,,,,,,,,,,,,,,,1639020,2025-08-25 20:04:41
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment1,0.00100261,-0.03093734,-0.15750531,0.09563064,-0.00242936,-0.00003201,-0.00016296,0.00009894,-3.91e-6,0.63188239,-0.22998786,0.16811319,-0.00023795,0.00017393,1.0,441569,2025-08-25 20:04:22
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_delete_cart,,treatment2,0.00052883,0.01633791,-0.05691982,0.08959563,0.00091411,8.5e-6,-0.00002962,0.00004662,1.04e-6,0.66203136,-0.09887282,0.13154864,-0.00005145,0.00006845,1.0,1590016,2025-08-25 20:04:41
