"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"hqdr_ratio","Metric","N/A","","mean","0.934576","1,398,961","0.934566","1,399,552","0.000000","[-0.000276, +0.000276]","0.000000","[-0.0295%, +0.0296%]","0.998613","-","0.098071","0.000000","0.000000"
"country_NULL","Dimension","hqdr_ratio","","mean","0.934354","1,138,964","0.934370","1,139,477","0.000016","[-0.000321, +0.000353]","0.000017","[-0.0344%, +0.0378%]","0.924894","-","0.089084","0.000002","0.000001"
"country_United States","Dimension","hqdr_ratio","","mean","0.905052","5,373","0.904625","5,371","-0.000426","[-0.008579, +0.007727]","-0.000471","[-0.9479%, +0.8537%]","0.918394","-","0.000202","0.000000","0.000000"
"nv_fco_all","Metric","N/A","","mean","7.148270","407,647","7.157076","408,105","0.009001","[-0.016636, +0.034638]","0.001259","[-0.2327%, +0.4846%]","0.491372","-","0.091758","0.000107","0.000825"
"nv_hqfr","Metric","N/A","","mean","0.778991","300,835","0.778756","301,148","-0.000219","[-0.001779, +0.00134]","-0.000281","[-0.2283%, +0.172%]","0.782924","-","0.091455","-0.000026","-0.000020"
"nv_mau","Metric","N/A","","mean","0.285469","1,536,425","0.285730","1,537,226","0.000307","[-0.000575, +0.001189]","0.001076","[-0.2015%, +0.4167%]","0.495049","-","0.064821","0.000070","0.000063"
"o1_aov","Metric","N/A","","mean","37.855976","1,396,715","37.827418","1,397,371","-0.014374","[-0.060242, +0.031493]","-0.000380","[-0.1591%, +0.0832%]","0.539062","-","0.097919","-0.000037","-0.001410"
"o1_gmv","Metric","N/A","","mean","239.050473","1,536,425","239.372789","1,537,226","0.066474","[-0.493535, +0.626484]","0.000278","[-0.2065%, +0.2621%]","0.816031","-","0.097868","0.000027","0.005781"
"o1_subtotal","Metric","N/A","","mean","27.473378","1,396,715","27.460784","1,397,371","-0.002901","[-0.039684, +0.033882]","-0.000106","[-0.1444%, +0.1233%]","0.877151","-","0.097919","-0.000010","-0.000285"
"o1_vp","Metric","N/A","","mean","3.733061","1,396,715","3.720230","1,397,371","-0.008245","[-0.020215, +0.003725]","-0.002209","[-0.5415%, +0.0998%]","0.177002","-","0.097919","-0.000242","-0.000809"
"o1_vp_per_cx","Metric","N/A","","mean","23.513343","1,536,425","23.481491","1,537,226","-0.024674","[-0.112559, +0.063211]","-0.001049","[-0.4787%, +0.2688%]","0.582138","-","0.109201","-0.000115","-0.002146"
"order_inflation_rate","Metric","N/A","","mean","0.183700","1,346,987","0.183680","1,347,530","-0.000029","[-0.000193, +0.000134]","-0.000160","[-0.1051%, +0.073%]","0.723830","-","0.105614","-0.000017","-0.000003"
"ox_asap_order","Metric","N/A","","mean","0.935582","1,395,814","0.935310","1,396,496","-0.000297","[-0.000672, +0.000079]","-0.000317","[-0.0718%, +0.0084%]","0.121748","-","0.099819","-0.000032","-0.000030"
"ox_distinct_item_count","Metric","N/A","","mean","2.782088","1,395,814","2.780184","1,396,496","-0.000052","[-0.004347, +0.004242]","-0.000019","[-0.1562%, +0.1525%]","0.980910","-","0.100007","-0.000002","-0.000005"
"ox_ent_delivery_rate","Metric","N/A","","mean","0.566214","1,395,814","0.566223","1,396,496","-0.000040","[-0.000843, +0.000763]","-0.000071","[-0.1489%, +0.1347%]","0.921734","-","0.099819","-0.000007","-0.000004"
"ox_high_rating_delivery_rate","Metric","N/A","","mean","0.333186","1,395,814","0.333168","1,396,496","-0.000073","[-0.000871, +0.000726]","-0.000218","[-0.2614%, +0.2178%]","0.858583","-","0.099819","-0.000020","-0.000007"
"ox_scheduled_order","Metric","N/A","","mean","0.064418","1,395,814","0.064690","1,396,496","0.000214","[-0.000208, +0.000635]","0.003319","[-0.3223%, +0.9861%]","0.320026","-","0.099819","0.000326","0.000021"
"ox_subtotal_combined","Metric","N/A","","mean","28.315611","1,137,505","28.306020","1,138,041","0.002773","[-0.039803, +0.045348]","0.000098","[-0.1406%, +0.1602%]","0.898435","-","0.091937","0.000009","0.000255"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","0.383359","1,385,286","0.383134","1,385,965","-0.000576","[-0.001508, +0.000357]","-0.001502","[-0.3934%, +0.0931%]","0.226280","-","0.105709","-0.000155","-0.000061"
"variable_profit_per_order","Metric","N/A","","mean","3.519251","1,398,992","3.503417","1,399,561","-0.012441","[-0.024926, +0.000043]","-0.003535","[-0.7083%, +0.0012%]","0.050800","-","0.085191","-0.000371","-0.001063"
"consumer_is_occasional_cx_NULL","Dimension","variable_profit_per_order","","mean","-1.426979","864","-1.168515","868","0.258464","[-0.587766, +1.104695]","0.181127","[+41.1895%, -77.4149%]","0.549418","-","0.000018","0.000002","0.000005"
"consumer_is_occasional_cx_Occasional","Dimension","variable_profit_per_order","","mean","2.605871","134,693","2.570458","134,755","-0.033507","[-0.093296, +0.026282]","-0.012858","[-3.5802%, +1.0086%]","0.272032","-","0.003097","-0.000036","-0.000104"
"consumer_is_occasional_cx_Other","Dimension","variable_profit_per_order","","mean","3.580608","1,008,613","3.568230","1,009,015","-0.008692","[-0.023062, +0.005679]","-0.002427","[-0.6441%, +0.1586%]","0.235836","-","0.074505","-0.000227","-0.000649"
"is_occasional_cx_NULL","Dimension","variable_profit_per_order","","mean","-0.031089","82,746","-0.051968","85,946","-0.020879","[-0.125504, +0.083747]","-0.671578","[+403.6937%, -269.3781%]","0.695707","-","0.002070","-0.000015","-0.000043"
"is_occasional_cx_Occasional","Dimension","variable_profit_per_order","","mean","2.654127","138,047","2.632564","138,104","-0.021844","[-0.080927, +0.037239]","-0.008230","[-3.0491%, +1.4031%]","0.468680","-","0.003132","-0.000024","-0.000068"
"is_occasional_cx_Other","Dimension","variable_profit_per_order","","mean","3.679040","1,003,745","3.669828","1,004,174","-0.009743","[-0.024121, +0.004635]","-0.002648","[-0.6556%, +0.126%]","0.184118","-","0.072450","-0.000247","-0.000707"
"vol_from_over_25","Metric","N/A","","mean","0.160567","1,396,798","0.160303","1,397,472","-0.000324","[-0.000873, +0.000224]","-0.002019","[-0.5434%, +0.1396%]","0.246510","-","0.098778","-0.000207","-0.000032"
