"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","config_no_dsml Value","config_no_dsml Exposure Volume","config_no_dsml Absolute Impact","config_no_dsml Absolute Impact Confidence Interval","config_no_dsml Relative Impact","config_no_dsml Relative Impact Confidence Interval","config_no_dsml P Value","config_no_dsml Significance","config_no_dsml Coverage","config_no_dsml Relative Global Lift","config_no_dsml Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.036142","10,363,661","0.036619","10,362,249","0.000479","[+0.000354, +0.000604]","0.013252","[+0.9805%, +1.6699%]","0.000000","Significant","0.949902","0.012630","0.000455"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.042430","11,022,503","0.042865","11,021,245","0.000445","[+0.000311, +0.000579]","0.010488","[+0.734%, +1.3636%]","0.000000","Significant","0.941512","0.009952","0.000419"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.010954","11,022,503","0.010966","11,021,245","0.000015","[-0.000062, +0.000093]","0.001415","[-0.5688%, +0.8517%]","0.696265","-","0.940736","0.001332","0.000015"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.032962","955,515","0.032726","963,544","-0.000234","[-0.000675, +0.000206]","-0.007112","[-2.0467%, +0.6243%]","0.296601","-","0.950346","-0.006772","-0.000223"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.029518","168,970","0.029158","169,150","-0.000360","[-0.001494, +0.000774]","-0.012205","[-5.0622%, +2.6211%]","0.533478","-","0.124260","-0.001362","-0.000045"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.033482","796,426","0.033261","804,328","-0.000219","[-0.000695, +0.000258]","-0.006526","[-2.0761%, +0.7709%]","0.368918","-","0.826268","-0.005488","-0.000181"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.030571","199,531","0.029862","202,947","-0.000706","[-0.001614, +0.000203]","-0.023092","[-5.2811%, +0.6626%]","0.127771","-","0.205148","-0.004404","-0.000145"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.031098","30,380","0.031842","30,523","0.000742","[-0.001699, +0.003184]","0.023871","[-5.4647%, +10.239%]","0.551261","-","0.029448","0.000669","0.000022"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.033719","729,323","0.033608","733,738","-0.000110","[-0.000624, +0.000404]","-0.003277","[-1.852%, +1.1967%]","0.673553","-","0.714063","-0.002399","-0.000079"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.030247","791,102","0.030264","799,948","0.000018","[-0.000456, +0.000492]","0.000599","[-1.5079%, +1.6277%]","0.940317","-","0.748924","0.000412","0.000014"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.042989","210,561","0.041926","210,037","-0.001069","[-0.002156, +0.000019]","-0.024866","[-5.0164%, +0.0432%]","0.054043","-","0.201401","-0.006558","-0.000216"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.022964","974,217","0.023257","982,573","0.000291","[-0.000076, +0.000659]","0.012682","[-0.3323%, +2.8688%]","0.120407","-","0.950263","0.012030","0.000277"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.023593","807,696","0.024080","816,970","0.000486","[+0.000069, +0.000903]","0.020589","[+0.2915%, +3.8264%]","0.022421","Significant","0.749447","0.015827","0.000364"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.020632","214,300","0.020168","213,652","-0.000467","[-0.001235, +0.0003]","-0.022642","[-5.9837%, +1.4553%]","0.232828","-","0.200793","-0.004086","-0.000094"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.030885","173,981","0.031059","174,237","0.000174","[-0.000975, +0.001324]","0.005637","[-3.1583%, +4.2856%]","0.766603","-","0.125288","0.000949","0.000022"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.021756","810,374","0.022077","818,513","0.000318","[-0.000068, +0.000703]","0.014611","[-0.3107%, +3.2328%]","0.106033","-","0.825155","0.011402","0.000262"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.022017","203,220","0.022936","206,857","0.000914","[+0.000134, +0.001694]","0.041505","[+0.6069%, +7.6941%]","0.021696","Significant","0.205015","0.008147","0.000187"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.020087","30,943","0.022483","31,192","0.002384","[+0.000384, +0.004384]","0.118682","[+1.913%, +21.8235%]","0.019461","Significant","0.029417","0.003064","0.000070"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.023348","743,883","0.023382","748,303","0.000033","[-0.000393, +0.000459]","0.001413","[-1.6846%, +1.9672%]","0.879461","-","0.714146","0.001024","0.000024"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.133009","974,228","4.151263","982,600","0.017942","[+0.009747, +0.026137]","0.004341","[+0.2358%, +0.6324%]","0.000018","Significant","0.950264","0.004128","0.017050"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.085870","807,712","4.107348","817,000","0.020617","[+0.011744, +0.029491]","0.005046","[+0.2874%, +0.7218%]","0.000005","Significant","0.749454","0.003742","0.015454"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.307694","214,298","4.316028","213,650","0.010314","[-0.007553, +0.028182]","0.002394","[-0.1753%, +0.6542%]","0.257859","-","0.200787","0.000503","0.002075"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","3.907778","203,215","3.938370","206,854","0.030916","[+0.013749, +0.048083]","0.007911","[+0.3518%, +1.2304%]","0.000416","Significant","0.205010","0.001535","0.006341"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","4.188851","30,938","4.223562","31,191","0.031984","[-0.018383, +0.082351]","0.007636","[-0.4389%, +1.966%]","0.213273","-","0.029414","0.000229","0.000946"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.194779","743,904","4.209910","748,335","0.014779","[+0.005371, +0.024187]","0.003523","[+0.128%, +0.5766%]","0.002078","Significant","0.714154","0.002556","0.010557"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.802571","173,975","3.792309","174,238","-0.010232","[-0.028036, +0.007573]","-0.002691","[-0.7373%, +0.1992%]","0.260038","-","0.125283","-0.000311","-0.001283"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.183395","810,392","4.205556","818,541","0.022427","[+0.013374, +0.031481]","0.005361","[+0.3197%, +0.7525%]","0.000001","Significant","0.825160","0.004481","0.018508"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","17.637315","27,749","17.615628","28,346","-0.011908","[-0.237518, +0.213702]","-0.000675","[-1.3467%, +1.2116%]","0.917605","-","0.953321","-0.000645","-0.011355"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","16.773042","236,571","16.836390","245,412","0.062228","[-0.005812, +0.130267]","0.003710","[-0.0346%, +0.7766%]","0.073044","-","0.952627","0.003538","0.059289"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","28.070014","39,870","28.280783","39,557","0.217019","[-0.108279, +0.542318]","0.007731","[-0.3857%, +1.932%]","0.191020","-","0.945718","0.007333","0.205326"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","38.981333","75","35.507325","58","-3.474008","[-12.92576, +5.977744]","-0.089120","[-33.1588%, +15.3349%]","0.471286","-","0.927666","-0.083913","-3.230507"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","25.904288","104,520","26.203384","109,582","0.288740","[+0.083287, +0.494194]","0.011146","[+0.3215%, +1.9078%]","0.005878","Significant","0.952565","0.010630","0.275114"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","20.315662","392,520","20.428727","405,899","0.112608","[+0.033462, +0.191753]","0.005543","[+0.1647%, +0.9439%]","0.005293","Significant","0.952001","0.005283","0.107228"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","40.544815","2,629","39.176777","2,666","-1.461048","[-3.207025, +0.284929]","-0.036035","[-7.9098%, +0.7028%]","0.100981","-","0.956565","-0.034624","-1.397582"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","19.320100","651,218","19.303677","647,498","-0.016539","[-0.05995, +0.026872]","-0.000856","[-0.3103%, +0.1391%]","0.455224","-","0.949242","-0.000814","-0.015698"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.922313","974,254","0.921826","982,621","-0.000494","[-0.001155, +0.000166]","-0.000536","[-0.1252%, +0.018%]","0.142146","-","0.950265","-0.000509","-0.000470"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.923949","807,736","0.922892","817,020","-0.001059","[-0.001792, -0.000327]","-0.001147","[-0.1939%, -0.0354%]","0.004590","Significant","0.749459","-0.000861","-0.000794"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.916251","214,300","0.917826","213,652","0.001573","[+0.000084, +0.003061]","0.001717","[+0.0092%, +0.3341%]","0.038366","Significant","0.200783","0.000343","0.000316"
