"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.000086","31,043","0.000056","30,046","-0.000030","[-0.000059, -0.000002]","-0.352975","[-68.7129%, -1.8821%]","0.038419","Significant","0.008851","0.000000","0.000000","0.000060","30,055","-0.000027","[-0.000057, +0.000004]","-0.309859","[-66.1039%, +4.1321%]","0.083747","-","0.008851","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000056","21,638","0.000044","21,855","-0.000012","[-0.00005, +0.000026]","-0.212441","[-88.6276%, +46.1394%]","0.536628","-","0.001035","0.000000","0.000000","0.000053","20,924","-0.000004","[-0.000047, +0.00004]","-0.065306","[-83.9139%, +70.8527%]","0.868624","-","0.001035","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_android","","mean","0.000063","30,246","0.000032","30,639","-0.000032","[-0.000099, +0.000035]","-0.510751","[-157.8551%, +55.7049%]","0.348506","-","0.001721","0.000000","0.000000","0.000035","29,348","-0.000028","[-0.000095, +0.00004]","-0.438012","[-150.9095%, +63.3071%]","0.422834","-","0.001721","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_android","","mean","0.000006","22,662","0.000006","22,868","0.000000","[-0.000009, +0.000009]","-0.021310","[-160.7133%, +156.4513%]","0.978988","-","0.001539","0.000000","0.000000","0.000004","21,847","-0.000002","[-0.00001, +0.000007]","-0.308570","[-179.2341%, +117.52%]","0.683566","-","0.001539","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_android","","mean","0.000690","22,516","0.000466","22,705","-0.000222","[-0.000478, +0.000033]","-0.321844","[-69.1986%, +4.8298%]","0.088340","-","0.000779","0.000000","0.000000","0.000499","21,770","-0.000188","[-0.000466, +0.000091]","-0.272150","[-67.5885%, +13.1586%]","0.186444","-","0.000779","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","27,576","0.000000","28,021","0.000000","[0, 0]","","[]","1.000000","-","0.001043","0.000000","0.000000","0.000000","26,719","0.000000","[0, 0]","","[]","1.000000","-","0.001043","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_android","","mean","0.000013","14,768","0.000025","14,969","0.000012","[-0.000031, +0.000055]","0.928976","[-241.1406%, +426.9358%]","0.585702","-","0.000230","0.000000","0.000000","0.000027","14,436","0.000014","[-0.000031, +0.000058]","1.069898","[-239.5666%, +453.5462%]","0.545123","-","0.000230","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","24,833","0.000000","25,114","0.000000","[0, 0]","","[]","0.408192","-","0.001216","0.000000","0.000000","0.000003","24,002","0.000003","[-0.000002, +0.000007]","","[]","0.315337","-","0.001216","0.000000","0.000000"
"cx_app_quality_crash_ios","Metric","N/A","","mean","0.000054","69,034","0.000061","66,813","0.000008","[-0.000005, +0.00002]","0.142123","[-9.0449%, +37.4696%]","0.231027","-","0.005107","0.000000","0.000000","0.000058","66,518","0.000005","[-0.000007, +0.000016]","0.084187","[-12.9534%, +29.7908%]","0.440082","-","0.005107","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000095","47,043","0.000136","46,811","0.000042","[-0.000002, +0.000086]","0.441135","[-2.2013%, +90.4283%]","0.061928","-","0.000294","0.000000","0.000000","0.000143","45,242","0.000048","[+0.000003, +0.000093]","0.509468","[+3.5587%, +98.3349%]","0.035105","Significant","0.000294","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_ios","","mean","0.000026","69,555","0.000034","70,970","0.000008","[-0.000003, +0.000018]","0.296281","[-11.6952%, +70.9514%]","0.159944","-","0.001486","0.000000","0.000000","0.000031","67,092","0.000005","[-0.000006, +0.000015]","0.182500","[-21.8906%, +58.3906%]","0.372876","-","0.001486","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_ios","","mean","0.000035","49,612","0.000046","49,492","0.000011","[-0.000008, +0.000029]","0.301954","[-22.0917%, +82.4826%]","0.257692","-","0.000568","0.000000","0.000000","0.000035","47,722","0.000000","[-0.000017, +0.000016]","-0.013412","[-49.2109%, +46.5284%]","0.956207","-","0.000568","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_ios","","mean","0.000135","49,788","0.000127","49,616","-0.000009","[-0.000083, +0.000066]","-0.064436","[-61.6342%, +48.7469%]","0.819001","-","0.000346","0.000000","0.000000","0.000111","47,809","-0.000024","[-0.000086, +0.000038]","-0.177641","[-63.3636%, +27.8354%]","0.445142","-","0.000346","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000180","60,823","0.000170","61,647","-0.000010","[-0.000055, +0.000034]","-0.057820","[-30.3795%, +18.8156%]","0.645004","-","0.000389","0.000000","0.000000","0.000158","58,611","-0.000022","[-0.000067, +0.000023]","-0.122574","[-37.0457%, +12.531%]","0.332463","-","0.000389","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_ios","","mean","0.000060","38,996","0.000039","38,868","-0.000021","[-0.000067, +0.000025]","-0.348423","[-111.3481%, +41.6636%]","0.372068","-","0.000141","0.000000","0.000000","0.000067","37,649","0.000007","[-0.000048, +0.000061]","0.108192","[-79.4366%, +101.075%]","0.814251","-","0.000141","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_ios","","mean","0.000070","54,669","0.000095","54,566","0.000025","[-0.000017, +0.000067]","0.355524","[-24.1421%, +95.2469%]","0.243089","-","0.000699","0.000000","0.000000","0.000082","52,661","0.000012","[-0.000024, +0.000048]","0.170486","[-34.8966%, +68.9938%]","0.520050","-","0.000699","0.000000","0.000000"
"cx_app_quality_crash_web","Metric","N/A","","mean","0.000901","146,780","0.000889","142,020","-0.000011","[-0.000117, +0.000095]","-0.012217","[-12.9642%, +10.5208%]","0.838423","-","0.217298","-0.001707","-0.000002","0.000879","141,877","-0.000023","[-0.000118, +0.000071]","-0.026006","[-13.0652%, +7.8639%]","0.626196","-","0.217298","-0.003634","-0.000005"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_web","","mean","0.001184","95,779","0.000973","97,459","-0.000212","[-0.00052, +0.000097]","-0.178711","[-43.9247%, +8.1826%]","0.178819","-","0.044657","-0.006843","-0.000010","0.000939","92,919","-0.000244","[-0.000569, +0.00008]","-0.206289","[-48.0267%, +6.7689%]","0.140015","-","0.044657","-0.007637","-0.000011"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_web","","mean","0.000455","119,954","0.000427","122,612","-0.000028","[-0.000116, +0.000059]","-0.062311","[-25.5266%, +13.0645%]","0.526782","-","0.059294","-0.001218","-0.000002","0.000408","116,186","-0.000047","[-0.000139, +0.000045]","-0.103091","[-30.5177%, +9.8994%]","0.317383","-","0.059294","-0.001951","-0.000003"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_web","","mean","0.000000","71,494","0.000000","73,026","0.000000","[0, 0]","","[]","1.000000","-","0.015851","0.000000","0.000000","0.000000","69,253","0.000000","[0, 0]","","[]","1.000000","-","0.015851","0.000000","0.000000"
