"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"consumers_mau_cx_lifestage_Active","Dimension","consumers_mau","","mean","0.994083","2,242,674","0.994054","2,175,339","-0.000026","[-0.000169, +0.000117]","-0.000026","[-0.017%, +0.0117%]","0.719369","-","0.141980","-0.000004","-0.000002","0.993950","2,178,120","-0.000130","[-0.000273, +0.000014]","-0.000130","[-0.0275%, +0.0014%]","0.076776","-","0.141980","-0.000019","-0.000009"
"consumers_mau_cx_lifestage_Churned","Dimension","consumers_mau","","mean","0.966273","274,850","0.965931","267,136","-0.000348","[-0.001311, +0.000614]","-0.000361","[-0.1356%, +0.0635%]","0.477786","-","0.016918","-0.000006","-0.000003","0.966414","266,631","0.000167","[-0.000792, +0.001127]","0.000173","[-0.0819%, +0.1166%]","0.732270","-","0.016918","0.000003","0.000001"
"cx_lifestage_Dormant","Dimension","consumers_mau","","mean","0.977155","312,277","0.977241","302,249","0.000047","[-0.000699, +0.000792]","0.000048","[-0.0715%, +0.0811%]","0.901912","-","0.019401","0.000000","0.000000","0.977695","302,401","0.000519","[-0.000222, +0.001261]","0.000531","[-0.0228%, +0.129%]","0.170058","-","0.019401","0.000010","0.000005"
"cx_lifestage_New Cx","Dimension","consumers_mau","","mean","0.979284","40,113","0.978906","38,352","-0.000400","[-0.002397, +0.001596]","-0.000409","[-0.2448%, +0.163%]","0.694351","-","0.002481","0.000000","0.000000","0.977924","38,548","-0.001381","[-0.003399, +0.000637]","-0.001410","[-0.347%, +0.0651%]","0.179886","-","0.002481","-0.000004","-0.000002"
"cx_lifestage_Non-Purchaser","Dimension","consumers_mau","","mean","0.956522","72,428","0.955145","69,958","-0.001410","[-0.00354, +0.00072]","-0.001474","[-0.3701%, +0.0753%]","0.194544","-","0.004404","-0.000006","-0.000003","0.955238","70,238","-0.001213","[-0.00334, +0.000913]","-0.001268","[-0.3492%, +0.0955%]","0.263481","-","0.004404","-0.000006","-0.000003"
"core_quality_late20","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.006224","38,316","0.006032","37,404","-0.000199","[-0.000561, +0.000164]","-0.031899","[-9.0179%, +2.6381%]","0.283379","-","0.019787","-0.000491","-0.000004","0.006195","37,043","-0.000043","[-0.000424, +0.000338]","-0.006903","[-6.8093%, +5.4286%]","0.824994","-","0.019787","0.000000","0.000000"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.666667","6","1.000000","3","0.333333","[-0.079864, +0.74653]","0.499999","[-11.9796%, +111.9794%]","0.113847","-","0.000000","0.000000","0.000000","1.000000","2","0.333333","[-0.079864, +0.74653]","0.499999","[-11.9796%, +111.9794%]","0.113847","-","0.000000","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.005040","37,374","0.004718","36,509","-0.000323","[-0.000686, +0.000041]","-0.064011","[-13.612%, +0.8098%]","0.081884","-","0.011773","-0.000473","-0.000004","0.004812","36,207","-0.000233","[-0.000603, +0.000138]","-0.046148","[-11.9736%, +2.744%]","0.219025","-","0.011773","-0.000342","-0.000003"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.017703","25,213","0.017386","24,524","-0.000307","[-0.001718, +0.001104]","-0.017345","[-9.7065%, +6.2375%]","0.669791","-","0.002470","0.000000","0.000000","0.018346","24,424","0.000662","[-0.000851, +0.002176]","0.037420","[-4.8058%, +12.2898%]","0.390884","-","0.002470","0.000207","0.000002"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.002990","34,405","0.002974","33,633","-0.000014","[-0.000523, +0.000495]","-0.004717","[-17.4837%, +16.5404%]","0.956665","-","0.003460","0.000000","0.000000","0.003038","33,301","0.000047","[-0.00048, +0.000574]","0.015784","[-16.0536%, +19.2104%]","0.860720","-","0.003460","0.000000","0.000000"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.356481","194","0.399103","213","0.045624","[-0.049061, +0.14031]","0.127985","[-13.7625%, +39.3596%]","0.344957","-","0.000004","0.000000","0.000000","0.429788","214","0.076257","[-0.025471, +0.177984]","0.213915","[-7.1451%, +49.9281%]","0.141773","-","0.000004","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.202186","126","0.129870","143","-0.069527","[-0.159866, +0.020811]","-0.343878","[-79.0687%, +10.2931%]","0.131440","-","0.000003","0.000000","0.000000","0.091463","117","-0.112927","[-0.202619, -0.023236]","-0.558532","[-100.214%, -11.4924%]","0.013597","Significant","0.000003","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003684","23,235","0.004001","22,678","0.000316","[-0.000434, +0.001066]","0.085829","[-11.7721%, +28.9378%]","0.408556","-","0.002090","0.000000","0.000000","0.003649","22,527","-0.000036","[-0.00073, +0.000658]","-0.009781","[-19.8267%, +17.8706%]","0.918991","-","0.002090","0.000000","0.000000"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.011106","2,462,387","0.011118","2,387,392","0.000011","[-0.000049, +0.000071]","0.001000","[-0.4432%, +0.6431%]","0.718241","-","0.305946","0.000292","0.000003","0.011117","2,391,135","0.000010","[-0.00005, +0.000071]","0.000940","[-0.4498%, +0.6377%]","0.734755","-","0.305946","0.000274","0.000003"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.035569","177,392","0.034146","171,074","-0.001411","[-0.002502, -0.00032]","-0.039668","[-7.0337%, -0.8999%]","0.011242","Significant","0.000905","-0.000110","-0.000001","0.035566","171,646","0.000004","[-0.001096, +0.001103]","0.000099","[-3.0814%, +3.1012%]","0.994987","-","0.000905","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.014305","2,347,396","0.014306","2,276,500","-0.000003","[-0.000086, +0.00008]","-0.000194","[-0.6003%, +0.5614%]","0.947746","-","0.166668","0.000000","0.000000","0.014287","2,280,337","-0.000018","[-0.000101, +0.000065]","-0.001267","[-0.7074%, +0.454%]","0.668924","-","0.166668","-0.000260","-0.000003"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.022902","424,068","0.022583","412,846","-0.000311","[-0.000889, +0.000266]","-0.013594","[-3.8818%, +1.163%]","0.290829","-","0.002190","0.000000","0.000000","0.023020","413,343","0.000124","[-0.000632, +0.000879]","0.005393","[-2.7605%, +3.839%]","0.748738","-","0.002190","0.000000","0.000000"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.005248","1,725,252","0.005249","1,672,012","0.000001","[-0.000078, +0.000079]","0.000111","[-1.4893%, +1.5115%]","0.988425","-","0.041304","0.000000","0.000000","0.005223","1,675,793","-0.000026","[-0.000104, +0.000052]","-0.004902","[-1.9805%, +1.0001%]","0.519161","-","0.041304","-0.000091","-0.000001"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.001449","2,205,965","0.001434","2,139,158","-0.000015","[-0.000056, +0.000026]","-0.010255","[-3.8488%, +1.7978%]","0.476520","-","0.047660","0.000000","0.000000","0.001451","2,142,189","0.000002","[-0.000039, +0.000044]","0.001691","[-2.668%, +3.0062%]","0.906999","-","0.047660","0.000000","0.000000"
