Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,control,0.00168467,,,,,,,,,,,,,,,13751,2025-01-15 23:09:39
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.00694825,-0.02896652,-0.11107944,0.0531464,0.0,-0.00020719,-0.00079451,0.00038014,0.0,0.48931069,-0.15810361,0.10017057,-0.00113086,0.00071648,1.0,101834,2025-01-15 23:09:58
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment2,0.73809584,-0.0499033,-0.26748185,0.16767524,0.0,-0.03898697,-0.20897025,0.13099632,0.0,0.65304741,-0.39208405,0.29227744,-0.30631575,0.22834181,1.0,41,2025-01-15 23:09:39
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_payment_method,,treatment1,0.00126254,-0.25089967,-1.28123404,0.77943471,0.0,-0.00042268,-0.00215845,0.00131309,0.0,0.6331653,-1.8712827,1.36948337,-0.00315249,0.00230712,1.0,7035,2025-01-15 23:09:39
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.05673059,-0.10670924,-0.4302252,0.21680671,-0.00017322,-0.00676061,-0.0272571,0.01373588,-7.69e-6,0.5179692,-0.6154953,0.40207681,-0.03899497,0.02547375,1.0,489,2025-01-15 23:09:35
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00068836,0.03300024,-0.12646303,0.1924635,0.00324319,0.00002201,-0.00008436,0.00012839,3.91e-6,0.68503203,-0.21778395,0.28378442,-0.00014528,0.00018931,1.0,105562,2025-01-15 23:09:39
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.01120116,0.00187809,-0.00541483,0.00917101,0.0005936,0.00002099,-0.00006053,0.00010251,5.48e-6,0.61374494,-0.00959132,0.0133475,-0.00010721,0.0001492,1.0,1815900,2025-01-15 23:09:58
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00257162,,,,,,,,,,,,,,,3630970,2025-01-15 23:09:25
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00583669,,,,,,,,,,,,,,,931342,2025-01-15 23:09:39
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00066711,,,,,,,,,,,,,,,210594,2025-01-15 23:09:39
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.05876193,-0.06369008,-0.38507696,0.2576968,-0.00010529,-0.00403511,-0.02439672,0.01632649,-4.67e-6,0.69771176,-0.56912778,0.44174762,-0.03605734,0.02798711,1.0,440,2025-01-15 23:09:35
cx_app_quality_action_load_latency_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.06335543,,,,,,,,,,,,,,,953,2025-01-15 23:09:35
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.01120143,0.00259552,-0.00471164,0.00990269,0.00082052,0.00002901,-0.00005267,0.00011069,7.58e-6,0.48631374,-0.00889629,0.01408733,-0.00009944,0.00015747,1.0,1815594,2025-01-15 23:09:58
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.0025953,0.00920965,-0.00879559,0.02721488,0.00158385,0.00002368,-0.00002262,0.00006999,6.04e-6,0.31609347,-0.01910677,0.03752606,-0.00004914,0.0000965,1.0,1817465,2025-01-15 23:09:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00259878,0.01056615,-0.0074044,0.0285367,0.00181757,0.00002717,-0.00001904,0.00007339,6.93e-6,0.2491564,-0.01769571,0.03882801,-0.00004551,0.00009985,1.0,1817098,2025-01-15 23:09:25
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.0015417,-0.00959303,-0.05766513,0.03847907,-0.00270496,-0.00001493,-0.00008975,0.00005989,-4.45e-6,0.69570804,-0.08519491,0.06600885,-0.0001326,0.00010274,1.0,453587,2025-01-15 23:09:36
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00577839,-0.00977758,-0.03100644,0.01145127,-0.00202136,-0.00005707,-0.00018098,0.00006684,-0.00001665,0.36667459,-0.04316371,0.02360855,-0.00025193,0.0001378,1.0,465086,2025-01-15 23:09:39
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.01117794,,,,,,,,,,,,,,,3627927,2025-01-15 23:09:58
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,control,0.00155643,,,,,,,,,,,,,,,904813,2025-01-15 23:09:36
cx_app_quality_page_action_error_web,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00071129,0.0672108,-0.09740538,0.23182697,0.00664112,0.00004484,-0.00006498,0.00015465,8e-6,0.42357777,-0.19167726,0.32609885,-0.00012787,0.00021754,1.0,105938,2025-01-15 23:09:39
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment1,0.00586063,0.0044747,-0.01738646,0.02633586,0.00092516,0.00002612,-0.00010148,0.00015371,7.62e-6,0.68828771,-0.02990584,0.03885524,-0.00017455,0.00022679,1.0,467014,2025-01-15 23:09:39
cx_app_quality_page_action_error_android,decrease,action_dimension,action_dimension_cx_add_to_cart,,treatment2,0.00156858,0.00781483,-0.04093657,0.05656624,0.00220509,0.00001216,-0.00006372,0.00008804,3.63e-6,0.7533831,-0.06885537,0.08448504,-0.00010717,0.0001315,1.0,451820,2025-01-15 23:09:36
cx_app_quality_action_load_latency_android,decrease,action_dimension,action_dimension_cx_create_address,,control,0.057143,,,,,,,,,,,,,,,35,2025-01-15 23:09:39
