"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"dbd_pre_checkout_order_rate_28d","Metric","N/A","","mean","0.034385","13,208,759","0.034389","13,208,763","0.000008","[-0.000202, +0.000218]","0.000231","[-0.5886%, +0.6347%]","0.941043","-","0.746531","0.000172","0.000067"
"dbd_pre_checkout_order_rate_7d","Metric","N/A","","mean","0.020179","13,208,759","0.020113","13,208,763","-0.000064","[-0.000196, +0.000067]","-0.003174","[-0.9689%, +0.334%]","0.339590","-","0.437773","-0.001390","-0.000538"
"dbd_cx_segment_NULL","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.007738","105,070","0.007829","104,098","0.000091","[-0.000878, +0.00106]","0.011760","[-11.3472%, +13.6993%]","0.853972","-","0.001330","0.000016","0.000006"
"dbd_cx_segment_did_not_purchase_l180d","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.006161","9,203,724","0.006339","9,204,039","0.000178","[+0.000101, +0.000255]","0.028891","[+1.641%, +4.1373%]","0.000006","Significant","0.093227","0.002693","0.001041"
"dbd_cx_segment_existing_purchased_l120d","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.014856","670,288","0.014778","670,537","-0.000078","[-0.00052, +0.000364]","-0.005250","[-3.4997%, +2.4496%]","0.729386","-","0.016374","-0.000086","-0.000033"
"dbd_cx_segment_existing_purchased_l180d","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.013829","897,941","0.013557","899,540","-0.000272","[-0.000638, +0.000094]","-0.019669","[-4.6147%, +0.681%]","0.145418","-","0.020434","-0.000402","-0.000155"
"dbd_cx_segment_existing_purchased_l30d","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.125836","1,955,843","0.125272","1,956,684","-0.000489","[-0.001338, +0.00036]","-0.003888","[-1.0636%, +0.2859%]","0.258698","-","0.404716","-0.001574","-0.000608"
"dbd_cx_segment_existing_purchased_l60d","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.027210","1,196,562","0.027397","1,195,662","0.000187","[-0.000278, +0.000652]","0.006872","[-1.0208%, +2.3953%]","0.430331","-","0.053508","0.000368","0.000142"
"dbd_cx_segment_existing_purchased_l90d","Dimension","dbd_pre_checkout_order_rate_7d","","mean","0.019101","862,982","0.018866","864,253","-0.000235","[-0.000681, +0.000211]","-0.012303","[-3.5636%, +1.1029%]","0.301383","-","0.027120","-0.000334","-0.000129"
"dbd_total_o2_gmv_1pc","Metric","N/A","","mean","0.043859","13,208,759","0.043426","13,208,763","-0.000287","[-0.001301, +0.000728]","-0.006534","[-2.967%, +1.6602%]","0.579920","-","0.737733","-0.004820","-0.000245"
"dbd_total_o2_gmv_3pc","Metric","N/A","","mean","0.466570","13,208,759","0.467933","13,208,763","0.001383","[-0.001785, +0.00455]","0.002964","[-0.3826%, +0.9753%]","0.392236","-","0.687479","0.002037","0.001180"
"dbd_total_o2_gmv_alc","Metric","N/A","","mean","0.123365","13,208,759","0.122798","13,208,763","-0.000172","[-0.002267, +0.001923]","-0.001394","[-1.8373%, +1.5585%]","0.872160","-","0.700211","-0.000976","-0.000147"
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.001099","13,208,759","0.001314","13,208,763","0.000215","[+0.000004, +0.000427]","0.195987","[+0.3764%, +38.821%]","0.045680","Significant","0.767837","0.150486","0.000184"
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.319431","13,208,759","0.316732","13,208,763","-0.002906","[-0.006486, +0.000673]","-0.009098","[-2.0303%, +0.2108%]","0.111544","-","0.684133","-0.006224","-0.002481"
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","1.043263","13,208,759","1.041896","13,208,763","-0.001712","[-0.007657, +0.004233]","-0.001641","[-0.7339%, +0.4058%]","0.572506","-","0.696143","-0.001142","-0.001461"
"dbd_total_o2_gmv_pets","Metric","N/A","","mean","0.013365","13,208,759","0.014224","13,208,763","0.000844","[+0.000055, +0.001633]","0.063170","[+0.4127%, +12.2214%]","0.035996","Significant","0.721527","0.045579","0.000721"
"dbd_total_o2_gmv_rx","Metric","N/A","","mean","1.542510","13,208,759","1.553243","13,208,763","0.010535","[+0.00418, +0.016891]","0.006830","[+0.271%, +1.095%]","0.001158","Significant","0.714015","0.004877","0.008993"
"dbd_total_o2_orders_1pc","Metric","N/A","","mean","0.002348","13,208,759","0.002315","13,208,763","-0.000032","[-0.000076, +0.000012]","-0.013640","[-3.2508%, +0.5228%]","0.156515","-","0.747095","-0.010190","-0.000027"
"dbd_total_o2_orders_3pc","Metric","N/A","","mean","0.028638","13,208,759","0.028601","13,208,763","-0.000024","[-0.000195, +0.000147]","-0.000842","[-0.681%, +0.5126%]","0.782122","-","0.697337","-0.000587","-0.000021"
"dbd_total_o2_orders_alc","Metric","N/A","","mean","0.004367","13,208,759","0.004358","13,208,763","-0.000007","[-0.00007, +0.000056]","-0.001642","[-1.606%, +1.2775%]","0.823325","-","0.692857","-0.001138","-0.000006"
"dbd_total_o2_orders_flowers","Metric","N/A","","mean","0.000028","13,208,759","0.000031","13,208,763","0.000003","[-0.000001, +0.000007]","0.107309","[-4.4345%, +25.8963%]","0.165485","-","0.768777","0.082497","0.000003"
"dbd_total_o2_orders_grocery","Metric","N/A","","mean","0.011983","13,208,759","0.011918","13,208,763","-0.000061","[-0.000167, +0.000044]","-0.005117","[-1.393%, +0.3696%]","0.255164","-","0.684357","-0.003502","-0.000052"
"dbd_total_o2_orders_nv","Metric","N/A","","mean","0.050329","13,208,759","0.050209","13,208,763","-0.000095","[-0.00033, +0.000139]","-0.001896","[-0.6564%, +0.2771%]","0.425881","-","0.699690","-0.001327","-0.000081"
"dbd_total_o2_orders_pets","Metric","N/A","","mean","0.000353","13,208,759","0.000365","13,208,763","0.000012","[-0.000004, +0.000028]","0.034328","[-1.0389%, +7.9045%]","0.132426","-","0.716759","0.024605","0.000010"
"dbd_total_o2_orders_rx","Metric","N/A","","mean","0.079831","13,208,759","0.080464","13,208,763","0.000657","[+0.000357, +0.000958]","0.008236","[+0.4475%, +1.1997%]","0.000018","Significant","0.723995","0.005963","0.000561"
"dbd_cx_segment_NULL","Dimension","dbd_total_o2_orders_rx","","mean","0.023470","105,070","0.024679","104,098","0.001209","[-0.000649, +0.003067]","0.051513","[-2.7665%, +13.069%]","0.202258","-","0.001731","0.000089","0.000008"
"dbd_cx_segment_did_not_purchase_l180d","Dimension","dbd_total_o2_orders_rx","","mean","0.099277","9,203,724","0.100894","9,204,039","0.001633","[+0.000895, +0.00237]","0.016446","[+0.902%, +2.3873%]","0.000014","Significant","0.644554","0.010601","0.000971"
"dbd_cx_segment_existing_purchased_l120d","Dimension","dbd_total_o2_orders_rx","","mean","0.255689","670,288","0.259233","670,537","0.003662","[-0.00075, +0.008073]","0.014320","[-0.2931%, +3.1572%]","0.103751","-","0.120919","0.001732","0.000159"
"dbd_cx_segment_existing_purchased_l180d","Dimension","dbd_total_o2_orders_rx","","mean","0.238655","897,941","0.240353","899,540","0.001765","[-0.001999, +0.005529]","0.007396","[-0.8376%, +2.3168%]","0.358025","-","0.151302","0.001119","0.000103"
"dbd_cx_segment_existing_purchased_l30d","Dimension","dbd_total_o2_orders_rx","","mean","4.036246","1,955,843","4.063590","1,956,684","0.027643","[+0.00624, +0.049046]","0.006849","[+0.1546%, +1.2151%]","0.011362","Significant","","",""
"dbd_cx_segment_existing_purchased_l60d","Dimension","dbd_total_o2_orders_rx","","mean","0.475551","1,196,562","0.482911","1,195,662","0.006822","[+0.002051, +0.011594]","0.014346","[+0.4313%, +2.438%]","0.005071","Significant","0.401244","0.005756","0.000527"
"dbd_cx_segment_existing_purchased_l90d","Dimension","dbd_total_o2_orders_rx","","mean","0.331045","862,982","0.334060","864,253","0.003249","[-0.001279, +0.007776]","0.009813","[-0.3863%, +2.3489%]","0.159635","-","0.201673","0.001979","0.000181"
"defect_ratio_overall","Metric","N/A","","mean","0.117883","13,208,759","0.117838","13,208,763","-0.000038","[-0.000204, +0.000128]","-0.000322","[-0.1733%, +0.1089%]","0.654654","-","0.613980","-0.000201","-0.000023"
"doubledash_active_user","Metric","N/A","","mean","0.086917","13,208,759","0.087039","13,208,763","0.000118","[-0.000091, +0.000327]","0.001355","[-0.1047%, +0.3757%]","0.268868","-","0.729875","0.000989","0.000988"
"doubledash_l_28_d_mau","Metric","N/A","","mean","0.114082","13,208,759","0.114208","13,208,763","0.000111","[-0.000119, +0.000342]","0.000977","[-0.1045%, +0.2999%]","0.343789","-","0.488789","0.000477","0.000477"
"dbd_cx_segment_NULL","Dimension","doubledash_l_28_d_mau","","mean","0.035129","105,070","0.035668","104,098","0.000539","[-0.001045, +0.002123]","0.015343","[-2.9743%, +6.043%]","0.504770","-","0.001192","0.000018","0.000018"
"dbd_cx_segment_did_not_purchase_l180d","Dimension","doubledash_l_28_d_mau","","mean","0.034616","9,203,724","0.034783","9,204,039","0.000167","[0, +0.000334]","0.004824","[-0.0006%, +0.9655%]","0.050293","-","0.103366","0.000499","0.000498"
