"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.040212","23,007","0.043664","24,763","0.003443","[+0.000219, +0.006666]","0.085610","[+0.544%, +16.5779%]","0.036352","Significant","0.017066","0.001424","0.000059"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.037598","5,964","0.040897","6,566","0.003299","[-0.003478, +0.010075]","0.087742","[-9.2492%, +26.7977%]","0.340006","-","0.003467","0.000278","0.000011"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.041036","17,406","0.044502","18,632","0.003441","[-0.000223, +0.007106]","0.083863","[-0.5429%, +17.3156%]","0.065653","-","0.013601","0.001133","0.000047"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.040577","20,973","0.043149","19,951","0.002568","[-0.001009, +0.006145]","0.063283","[-2.4876%, +15.1442%]","0.159450","-","0.013846","0.000860","0.000036"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.038885","2,939","0.045709","6,041","0.006016","[-0.001835, +0.013867]","0.154703","[-4.72%, +35.6607%]","0.133156","-","0.003429","0.000457","0.000019"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.024845","110","0.028901","123","0.003694","[-0.030075, +0.037462]","0.148665","[-121.0505%, +150.7835%]","0.830251","-","0.000094","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.005495","126","0.036765","106","0.028253","[-0.010107, +0.066612]","5.141671","[-183.9284%, +1,212.2627%]","0.148860","-","0.000092","0.000056","0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.040660","22,826","0.043892","24,582","0.003232","[-0.000016, +0.006481]","0.079494","[-0.0403%, +15.9391%]","0.051166","-","0.016869","0.001323","0.000055"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.036493","23,722","0.035533","25,526","-0.001066","[-0.004125, +0.001993]","-0.029216","[-11.3044%, +5.4611%]","0.494541","-","0.017218","-0.000661","-0.000018"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.024242","112","0.049450","129","0.023663","[-0.013744, +0.061071]","0.976126","[-56.6949%, +251.9201%]","0.215033","-","0.000095","0.000077","0.000002"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.052083","131","0.055556","111","0.001644","[-0.044997, +0.048285]","0.031565","[-86.3945%, +92.7075%]","0.944922","-","0.000095","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.036474","23,536","0.035387","25,342","-0.001203","[-0.00428, +0.001873]","-0.032991","[-11.7333%, +5.1352%]","0.443295","-","0.017019","-0.000738","-0.000021"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.043443","6,199","0.042884","6,834","-0.000559","[-0.007813, +0.006695]","-0.012867","[-17.9848%, +15.4115%]","0.879959","-","0.003526","-0.000071","-0.000002"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.034730","17,899","0.033604","19,141","-0.001227","[-0.004568, +0.002113]","-0.035340","[-13.1532%, +6.0852%]","0.471476","-","0.013692","-0.000605","-0.000017"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.037492","21,647","0.038061","20,625","0.000579","[-0.002911, +0.004069]","0.015441","[-7.7637%, +10.8519%]","0.745071","-","0.013997","0.000291","0.000008"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.030123","3,017","0.027356","6,192","-0.005066","[-0.011425, +0.001293]","-0.168185","[-37.9279%, +4.2909%]","0.118391","-","0.003434","-0.000572","-0.000016"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.915415","23,727","4.929952","25,529","0.018724","[-0.036514, +0.073962]","0.003809","[-0.7428%, +1.5047%]","0.506453","-","0.017217","0.000076","0.000322"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.934717","21,652","4.952043","20,628","0.012381","[-0.049241, +0.074002]","0.002509","[-0.9979%, +1.4996%]","0.693745","-","0.013997","0.000041","0.000173"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.762565","3,017","4.827245","6,190","0.119446","[+0.012989, +0.225903]","0.025080","[+0.2727%, +4.7433%]","0.027871","Significant","0.003433","0.000088","0.000374"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","5.360497","112","5.227479","128","-0.378745","[-1.198908, +0.441418]","-0.070655","[-22.3656%, +8.2346%]","0.365414","-","0.000094","-0.000008","-0.000034"
