"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_avg_o2_subtotal_alc","Metric","N/A","","mean","20.695917","29,490","20.769880","28,690","0.074669","[-0.22686, +0.376199]","0.003608","[-1.0962%, +1.8177%]","0.627424","-","0.745368","0.002628","0.055635","20.730156","28,339","0.036586","[-0.260971, +0.334143]","0.001768","[-1.261%, +1.6145%]","0.809566","-","0.745368","0.001287","0.027236"
"dbd_avg_o2_subtotal_flowers","Metric","N/A","","mean","30.496149","1,608","30.585413","1,664","0.098583","[-1.632167, +1.829333]","0.003233","[-5.352%, +5.9986%]","0.911110","-","0.458728","0.001594","0.045412","31.994568","1,632","1.456966","[-0.298557, +3.212488]","0.047775","[-0.979%, +10.5341%]","0.103814","-","0.458728","0.023422","0.667174"
"dbd_avg_o2_subtotal_grocery","Metric","N/A","","mean","20.333429","90,012","20.374476","86,343","0.040706","[-0.161162, +0.242573]","0.002002","[-0.7926%, +1.193%]","0.692682","-","0.753082","0.001493","0.030649","20.303282","86,939","-0.042068","[-0.246032, +0.161896]","-0.002069","[-1.21%, +0.7962%]","0.686031","-","0.753082","-0.001543","-0.031667"
"dbd_avg_o2_subtotal_nv","Metric","N/A","","mean","15.767673","307,396","15.822309","296,083","0.058198","[-0.028557, +0.144953]","0.003691","[-0.1811%, +0.9193%]","0.188575","-","0.762303","0.002780","0.044337","15.775803","298,024","0.010467","[-0.077079, +0.098014]","0.000664","[-0.4888%, +0.6216%]","0.814720","-","0.762303","0.000500","0.007978"
"dbd_avg_o2_subtotal_pets","Metric","N/A","","mean","30.516600","2,392","30.799775","2,413","0.351286","[-1.417263, +2.119834]","0.011511","[-4.6442%, +6.9465%]","0.697050","-","0.736328","0.008323","0.259116","30.402280","2,383","-0.016163","[-1.783372, +1.751047]","-0.000530","[-5.8439%, +5.738%]","0.985698","-","0.736328","-0.000383","-0.011921"
"dbd_avg_o2_subtotal_rx","Metric","N/A","","mean","14.008951","455,259","14.081351","446,565","0.076568","[+0.030693, +0.122443]","0.005466","[+0.2191%, +0.874%]","0.001071","Significant","0.756441","0.004131","0.057903","14.046635","441,887","0.035254","[-0.011723, +0.082232]","0.002517","[-0.0837%, +0.587%]","0.141328","-","0.756441","0.001903","0.026679"
"dbd_cx_segment_NULL","Dimension","dbd_avg_o2_subtotal_rx","","mean","14.899133","1,843","14.316573","3,573","-0.582560","[-1.297462, +0.132342]","-0.039100","[-8.7083%, +0.8883%]","0.110235","-","0.004697","-0.000189","-0.002635","14.559744","1,893","-0.339389","[-1.128602, +0.449824]","-0.022779","[-7.575%, +3.0191%]","0.399311","-","0.004697","-0.000116","-0.001620"
"dbd_cx_segment_did_not_purchase_l180d","Dimension","dbd_avg_o2_subtotal_rx","","mean","12.570325","118,005","12.590201","132,090","0.019863","[-0.077993, +0.117719]","0.001580","[-0.6205%, +0.9365%]","0.690750","-","0.632628","0.000915","0.012756","12.578502","114,687","0.008147","[-0.094647, +0.110941]","0.000648","[-0.7529%, +0.8826%]","0.876551","-","0.632628","0.000370","0.005154"
"dbd_cx_segment_existing_purchased_l120d","Dimension","dbd_avg_o2_subtotal_rx","","mean","13.764979","21,246","13.892706","24,509","0.130688","[-0.103397, +0.364774]","0.009494","[-0.7512%, +2.65%]","0.273852","-","0.121507","0.001176","0.016380","14.021713","20,389","0.259785","[+0.0031, +0.51647]","0.018873","[+0.0225%, +3.7521%]","0.047297","Significant","0.121507","0.002252","0.031383"
"dbd_cx_segment_existing_purchased_l180d","Dimension","dbd_avg_o2_subtotal_rx","","mean","13.556983","23,438","13.685363","26,612","0.127925","[-0.091638, +0.347488]","0.009436","[-0.6759%, +2.5632%]","0.253479","-","0.137318","0.001311","0.018264","13.512233","22,639","-0.045502","[-0.273928, +0.182925]","-0.003356","[-2.0206%, +1.3493%]","0.696228","-","0.137318","-0.000452","-0.006295"
"dbd_cx_segment_existing_purchased_l30d","Dimension","dbd_avg_o2_subtotal_rx","","mean","14.277434","351,194","14.229742","418,369","0.050705","[-0.012835, +0.114245]","0.003551","[-0.0899%, +0.8002%]","0.117808","-","","","","14.321500","340,795","0.037371","[-0.029207, +0.103949]","0.002617","[-0.2046%, +0.7281%]","0.271265","-","","",""
"dbd_cx_segment_existing_purchased_l60d","Dimension","dbd_avg_o2_subtotal_rx","","mean","14.247289","64,604","14.341194","76,801","0.093854","[-0.044173, +0.23188]","0.006587","[-0.31%, +1.6275%]","0.182625","-","0.411451","0.002840","0.039574","14.331090","62,719","0.083773","[-0.059699, +0.227245]","0.005880","[-0.419%, +1.595%]","0.252452","-","0.411451","0.002461","0.034289"
"dbd_cx_segment_existing_purchased_l90d","Dimension","dbd_avg_o2_subtotal_rx","","mean","14.011103","33,616","14.056261","39,751","0.043610","[-0.143709, +0.230929]","0.003113","[-1.0257%, +1.6482%]","0.648172","-","0.199922","0.000652","0.009080","14.156641","32,296","0.144724","[-0.051242, +0.34069]","0.010329","[-0.3657%, +2.4316%]","0.147766","-","0.199922","0.002084","0.029037"
"dbd_avg_o2_vp_1pc","Metric","N/A","","mean","-12.161846","14,182","-12.550833","13,622","-0.399369","[-0.803913, +0.005175]","-0.032838","[+6.6101%, -0.0426%]","0.053004","-","0.777138","0.024262","-0.309543","-11.866399","13,732","0.268034","[-0.149702, +0.68577]","0.022039","[+1.2309%, -5.6387%]","0.208543","-","0.777138","-0.016301","0.207976"
"dbd_avg_o2_vp_3pc","Metric","N/A","","mean","-0.048149","176,702","-0.080558","169,731","-0.027777","[-0.060881, +0.005326]","-0.576904","[+126.4423%, -11.0616%]","0.100048","-","0.771977","-0.708341","-0.021425","-0.043283","171,904","0.004066","[-0.029607, +0.03774]","0.084449","[+61.4913%, -78.3811%]","0.812914","-","0.771977","0.103748","0.003138"
"dbd_avg_o2_vp_alc","Metric","N/A","","mean","-0.137922","29,490","-0.163530","28,690","-0.036666","[-0.135549, +0.062217]","-0.265845","[+98.2791%, -45.1102%]","0.467375","-","0.745368","-1.016475","-0.027319","-0.179792","28,339","-0.055583","[-0.15445, +0.043285]","-0.403001","[+111.9833%, -31.3832%]","0.270512","-","0.745368","-1.539554","-0.041378"
"dbd_avg_o2_vp_flowers","Metric","N/A","","mean","1.534455","1,608","1.648084","1,664","0.114153","[-0.571582, +0.799888]","0.074393","[-37.2498%, +52.1285%]","0.744219","-","0.458728","0.031624","0.052584","1.366698","1,632","-0.177481","[-0.87291, +0.517948]","-0.115664","[-56.8873%, +33.7545%]","0.616931","-","0.458728","-0.048878","-0.081272"
