"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment_a Value","treatment_a Exposure Volume","treatment_a Absolute Impact","treatment_a Absolute Impact Confidence Interval","treatment_a Relative Impact","treatment_a Relative Impact Confidence Interval","treatment_a P Value","treatment_a Significance","treatment_a Coverage","treatment_a Relative Global Lift","treatment_a Absolute Global Lift","treatment_b Value","treatment_b Exposure Volume","treatment_b Absolute Impact","treatment_b Absolute Impact Confidence Interval","treatment_b Relative Impact","treatment_b Relative Impact Confidence Interval","treatment_b P Value","treatment_b Significance","treatment_b Coverage","treatment_b Relative Global Lift","treatment_b Absolute Global Lift"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.014738","2,382","0.018108","2,341","0.003339","[-0.002965, +0.009643]","0.226539","[-20.1205%, +65.4283%]","0.299260","-","0.002026","0.000302","0.000007","0.022700","2,441","0.008001","[+0.00144, +0.014562]","0.542901","[+9.774%, +98.8063%]","0.016835","Significant","0.002026","0.000715","0.000016"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.022175","416,453","0.022257","405,721","0.000083","[-0.000465, +0.000632]","0.003753","[-2.0975%, +2.8482%]","0.766083","-","0.370702","0.001346","0.000031","0.022307","405,855","0.000130","[-0.000417, +0.000677]","0.005862","[-1.8787%, +3.0511%]","0.641137","-","0.370702","0.002102","0.000048"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.029443","68,390","0.029060","66,708","-0.000383","[-0.002197, +0.001432]","-0.013003","[-7.463%, +4.8625%]","0.679219","-","0.043341","-0.000724","-0.000017","0.029707","66,821","0.000264","[-0.001564, +0.002091]","0.008954","[-5.3112%, +7.102%]","0.777362","-","0.043341","0.000498","0.000011"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.021161","355,563","0.021360","346,525","0.000200","[-0.000367, +0.000766]","0.009430","[-1.7346%, +3.6205%]","0.490040","-","0.331870","0.002890","0.000066","0.021351","346,678","0.000188","[-0.000376, +0.000753]","0.008886","[-1.7789%, +3.5561%]","0.513816","-","0.331870","0.002723","0.000062"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.007986","420,341","4.007822","409,587","0.000148","[-0.017461, +0.017757]","0.000037","[-0.4357%, +0.4431%]","0.986839","-","0.375441","0.000014","0.000056","4.002135","409,846","-0.005818","[-0.022262, +0.010626]","-0.001452","[-0.5555%, +0.2651%]","0.488033","-","0.375441","-0.000547","-0.002186"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.695574","68,596","3.737567","66,873","0.041941","[-0.004962, +0.088844]","0.011349","[-0.1343%, +2.4041%]","0.079670","-","0.043400","0.000456","0.001822","3.712360","67,017","0.016747","[-0.016833, +0.050328]","0.004532","[-0.4555%, +1.3618%]","0.328327","-","0.043400","0.000182","0.000727"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.048787","356,241","4.043135","347,174","-0.005308","[-0.023371, +0.012754]","-0.001311","[-0.5772%, +0.315%]","0.564608","-","0.332073","-0.000442","-0.001764","4.040019","347,375","-0.008671","[-0.026314, +0.008972]","-0.002142","[-0.6499%, +0.2216%]","0.335399","-","0.332073","-0.000721","-0.002881"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","3.985540","386,514","3.988326","376,632","0.003398","[-0.015686, +0.022482]","0.000853","[-0.3936%, +0.5641%]","0.727104","-","0.320171","0.000273","0.001089","3.978648","376,851","-0.007647","[-0.025231, +0.009936]","-0.001919","[-0.6331%, +0.2493%]","0.393974","-","0.320171","-0.000614","-0.002451"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.138078","59,418","4.120773","58,063","-0.014264","[-0.052186, +0.023658]","-0.003447","[-1.2611%, +0.5717%]","0.460984","-","0.055324","-0.000197","-0.000788","4.138692","58,037","0.004513","[-0.033259, +0.042285]","0.001091","[-0.8037%, +1.0219%]","0.814839","-","0.055324","0.000062","0.000249"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","4.002080","2,310","3.976419","2,370","-0.037986","[-0.219557, +0.143586]","-0.009491","[-5.4861%, +3.5878%]","0.681782","-","0.002270","-0.000023","-0.000091","3.988937","2,448","-0.020254","[-0.196635, +0.156126]","-0.005061","[-4.9133%, +3.9011%]","0.821925","-","0.002270","-0.000012","-0.000046"
