"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","15 mins treatment Value","15 mins treatment Exposure Volume","20 mins treatment Value","20 mins treatment Exposure Volume","20 mins treatment Absolute Impact","20 mins treatment Absolute Impact Confidence Interval","20 mins treatment Relative Impact","20 mins treatment Relative Impact Confidence Interval","20 mins treatment P Value","20 mins treatment Significance","20 mins treatment Coverage","20 mins treatment Relative Global Lift","20 mins treatment Absolute Global Lift"
"cx_lifestage_Dormant","Dimension","consumers_mau","","mean","0.936681","735,291","0.936411","735,719","-0.000270","[-0.001058, +0.000517]","-0.000289","[-0.1129%, +0.0552%]","0.501127","-","0.035067","-0.000010","-0.000005"
"cx_lifestage_New Cx","Dimension","consumers_mau","","mean","0.961074","107,614","0.960342","107,822","-0.000732","[-0.002373, +0.000909]","-0.000762","[-0.2469%, +0.0946%]","0.381920","-","0.005269","-0.000004","-0.000002"
"cx_lifestage_Non-Purchaser","Dimension","consumers_mau","","mean","0.870080","114,286","0.867768","114,556","-0.002287","[-0.005051, +0.000477]","-0.002628","[-0.5805%, +0.0549%]","0.104903","-","0.005067","-0.000013","-0.000007"
"consumers_mau_cx_lifestage_Churned","Dimension","consumers_mau","","mean","0.895855","550,970","0.896912","548,646","0.001053","[-0.000086, +0.002192]","0.001176","[-0.0096%, +0.2447%]","0.069899","-","0.025072","0.000029","0.000016"
"cx_app_latency_duration","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cx_app_payload_size_android","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"cx_app_payload_size_ios","Metric","N/A","","mean","-","0","-","0","-","-","-","-","-","-","-","-","-"
"dashpass_paid_balance","Metric","N/A","","mean","0.403815","8,349,517","0.403897","8,347,174","-0.000120","[-0.00034, +0.000099]","-0.000298","[-0.0842%, +0.0246%]","0.283338","-","0.397931","-0.000118","-0.000056"
"dashpass_signup","Metric","N/A","","mean","0.018006","8,349,517","0.018018","8,347,174","0.000012","[-0.000118, +0.000141]","0.000662","[-0.6533%, +0.7858%]","0.856827","-","0.470030","0.000311","0.000274"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.035005","7,568,682","0.036046","7,568,255","0.001032","[+0.000889, +0.001176]","0.029492","[+2.54%, +3.3584%]","0.000000","Significant","0.757939","0.025442","0.000783"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.048498","7,568,682","0.049482","7,568,255","0.000970","[+0.000793, +0.001147]","0.020008","[+1.6361%, +2.3655%]","0.000000","Significant","0.757939","0.017370","0.000735"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.013493","7,568,682","0.013435","7,568,255","-0.000061","[-0.000161, +0.000038]","-0.004553","[-1.1908%, +0.2802%]","0.225047","-","0.757939","-0.004018","-0.000047"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.039975","673,235","0.039632","685,401","-0.000340","[-0.000934, +0.000255]","-0.008496","[-2.3369%, +0.6378%]","0.262932","-","0.869046","-0.007768","-0.000295"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.039209","148,441","0.040497","150,494","0.001293","[+0.00005, +0.002536]","0.032979","[+0.1267%, +6.469%]","0.041520","Significant","0.197361","0.006720","0.000255"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.035525","21,067","0.033034","21,469","-0.002492","[-0.005624, +0.000641]","-0.070135","[-15.8305%, +1.8035%]","0.118982","-","0.026476","-0.001747","-0.000066"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.040401","503,967","0.039614","513,658","-0.000784","[-0.001479, -0.00009]","-0.019409","[-3.6599%, -0.2219%]","0.026896","Significant","0.641931","-0.013261","-0.000504"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.037286","88,309","0.034342","89,770","-0.002945","[-0.004671, -0.001218]","-0.078973","[-12.527%, -3.2676%]","0.000828","Significant","0.090447","-0.007009","-0.000266"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.040293","588,653","0.040247","599,384","-0.000042","[-0.000675, +0.00059]","-0.001054","[-1.6741%, +1.4632%]","0.895177","-","0.778663","-0.000871","-0.000033"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.036850","516,383","0.036669","529,696","-0.000179","[-0.000849, +0.00049]","-0.004869","[-2.3031%, +1.3293%]","0.599285","-","0.629676","-0.002979","-0.000113"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.048098","187,579","0.047588","187,003","-0.000518","[-0.001759, +0.000723]","-0.010764","[-3.6562%, +1.5035%]","0.413506","-","0.239273","-0.003258","-0.000124"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.021657","685,505","0.022077","698,074","0.000414","[-0.000025, +0.000853]","0.019124","[-0.1147%, +3.9394%]","0.064449","-","0.868524","0.016163","0.000360"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.021791","526,297","0.022338","540,083","0.000544","[+0.00003, +0.001058]","0.024972","[+0.1394%, +4.855%]","0.037912","Significant","0.629400","0.015400","0.000343"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.021334","191,016","0.021393","190,448","0.000056","[-0.000782, +0.000894]","0.002623","[-3.6668%, +4.1914%]","0.895887","-","0.239023","0.000600","0.000013"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.019948","150,843","0.020138","152,958","0.000183","[-0.000701, +0.001068]","0.009186","[-3.5148%, +5.352%]","0.684675","-","0.196890","0.001622","0.000036"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.020231","21,431","0.018409","21,803","-0.001816","[-0.004173, +0.00054]","-0.089772","[-20.6254%, +2.671%]","0.130909","-","0.026395","-0.002167","-0.000048"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.022236","513,482","0.022860","523,571","0.000620","[+0.000102, +0.001138]","0.027891","[+0.4584%, +5.1198%]","0.019004","Significant","0.641962","0.017905","0.000399"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.029574","90,794","0.030597","92,370","0.001024","[-0.000541, +0.002589]","0.034615","[-1.8299%, +8.753%]","0.199788","-","0.091159","0.004189","0.000093"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.020736","598,512","0.021086","609,523","0.000345","[-0.00011, +0.0008]","0.016635","[-0.53%, +3.857%]","0.137183","-","0.777415","0.012047","0.000268"
"cancelled_bucket_accident_emergency_dx","Dimension","dbd_avg_o2_cancellations","","mean","1.000000","407","1.000000","394","0.000000","[-0.000022, +0.000022]","0.000000","[-0.0022%, +0.0022%]","1.000000","-","0.000394","0.000000","0.000000"
"cancelled_bucket_item_unavailable","Dimension","dbd_avg_o2_cancellations","","mean","1.000000","3,711","1.000000","3,991","0.000000","[-0.000031, +0.000031]","0.000000","[-0.0031%, +0.0031%]","1.000000","-","0.003810","0.000000","0.000000"
"cancelled_bucket_mx_cancel_other","Dimension","dbd_avg_o2_cancellations","","mean","1.000000","996","1.000000","1,092","0.000000","[-0.000032, +0.000032]","0.000000","[-0.0032%, +0.0032%]","1.000000","-","0.001030","0.000000","0.000000"
"cancelled_bucket_mx_didnt_confirm","Dimension","dbd_avg_o2_cancellations","","mean","1.000000","85","1.000000","79","0.000000","[0, 0]","0.000000","[0%, 0%]","1.000000","-","0.000080","0.000000","0.000000"
"cancelled_bucket_order_modification","Dimension","dbd_avg_o2_cancellations","","mean","1.000000","234","1.000000","247","0.000000","[-0.00017, +0.00017]","0.000000","[-0.017%, +0.017%]","1.000000","-","0.000237","0.000000","0.000000"
"cancelled_bucket_order_taking_too_long","Dimension","dbd_avg_o2_cancellations","","mean","1.000000","2,824","1.000000","2,942","0.000000","[-0.000042, +0.000042]","0.000000","[-0.0042%, +0.0042%]","1.000000","-","0.002843","0.000000","0.000000"
"cancelled_bucket_pos_proactive_cancel","Dimension","dbd_avg_o2_cancellations","","mean","1.000000","454","1.000000","438","0.000000","[-0.000046, +0.000046]","0.000000","[-0.0046%, +0.0046%]","1.000000","-","0.000446","0.000000","0.000000"
"cancelled_bucket_store_closed","Dimension","dbd_avg_o2_cancellations","","mean","1.000000","1,009","1.000000","975","0.000000","[-0.000015, +0.000015]","0.000000","[-0.0015%, +0.0015%]","1.000000","-","0.000974","0.000000","0.000000"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.089557","685,541","4.095455","698,098","0.007294","[-0.004034, +0.018622]","0.001783","[-0.0986%, +0.4553%]","0.206967","-","0.868528","0.001578","0.006337"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.856051","90,800","3.863809","92,378","0.007759","[-0.019737, +0.035254]","0.002012","[-0.5118%, +0.9143%]","0.580212","-","0.091163","0.000176","0.000707"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.114459","598,545","4.119372","609,548","0.006470","[-0.00576, +0.018699]","0.001572","[-0.14%, +0.4545%]","0.299815","-","0.777416","0.001254","0.005033"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.060879","526,339","4.071563","540,116","0.010904","[-0.002536, +0.024345]","0.002685","[-0.0625%, +0.5995%]","0.111803","-","0.629415","0.001713","0.006874"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.155963","191,016","4.149204","190,448","-0.005488","[-0.024453, +0.013478]","-0.001320","[-0.5884%, +0.3243%]","0.570645","-","0.239012","-0.000327","-0.001310"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","3.863970","150,845","3.877858","152,960","0.015533","[-0.008954, +0.040019]","0.004020","[-0.2317%, +1.0357%]","0.213764","-","0.196885","0.000762","0.003060"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","4.102515","21,432","4.145376","21,805","0.040935","[-0.01753, +0.099399]","0.009978","[-0.4273%, +2.4229%]","0.169971","-","0.026396","0.000271","0.001087"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.156029","513,517","4.156643","523,601","0.001898","[-0.011118, +0.014914]","0.000457","[-0.2675%, +0.3589%]","0.775048","-","0.641972","0.000304","0.001220"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","18.873609","16,104","19.108676","16,437","0.247041","[-0.080655, +0.574738]","0.013089","[-0.4273%, +3.0452%]","0.139525","-","0.948905","0.012422","0.234443"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","16.131183","164,964","16.241603","168,797","0.108927","[+0.02759, +0.190263]","0.006753","[+0.171%, +1.1795%]","0.008670","Significant","0.860827","0.005855","0.093817"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","27.903467","28,539","28.096800","28,990","0.193036","[-0.183254, +0.569326]","0.006918","[-0.6567%, +2.0403%]","0.314676","-","0.962538","0.006665","0.185785"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","41.046786","84","39.024622","81","-1.157006","[-9.510016, +7.196004]","-0.028188","[-23.1687%, +17.5312%]","0.786020","-","0.946614","-0.026543","-1.095952"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","26.311642","83,801","26.476694","85,968","0.163920","[-0.07016, +0.398]","0.006230","[-0.2666%, +1.5126%]","0.169904","-","0.956825","0.005970","0.156866"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","20.470448","286,346","20.612690","292,900","0.141625","[+0.044649, +0.238602]","0.006919","[+0.2181%, +1.1656%]","0.004205","Significant","0.900733","0.006339","0.127614"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","37.353207","2,308","39.255753","2,420","1.793439","[-0.159301, +3.746179]","0.048013","[-0.4265%, +10.0291%]","0.071849","-","0.968548","0.046489","1.737169"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","19.551145","440,493","19.621666","447,897","0.072613","[+0.019124, +0.126102]","0.003714","[+0.0978%, +0.645%]","0.007797","Significant","0.849249","0.003218","0.061669"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.918275","685,542","0.918384","698,106","0.000099","[-0.000727, +0.000924]","0.000108","[-0.0791%, +0.1007%]","0.814429","-","0.868529","0.000093","0.000086"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.920914","526,336","0.920763","540,115","-0.000159","[-0.001108, +0.000791]","-0.000172","[-0.1204%, +0.0859%]","0.743357","-","0.629416","-0.000109","-0.000100"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.911254","191,016","0.911873","190,448","0.000622","[-0.001018, +0.002263]","0.000683","[-0.1117%, +0.2483%]","0.457135","-","0.239012","0.000162","0.000149"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.921061","150,846","0.919981","152,959","-0.001093","[-0.002806, +0.000619]","-0.001187","[-0.3046%, +0.0672%]","0.210745","-","0.196886","-0.000234","-0.000215"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.928031","21,432","0.932777","21,805","0.004659","[+0.000313, +0.009006]","0.005021","[+0.0337%, +0.9704%]","0.035642","Significant","0.026396","0.000135","0.000124"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.916949","513,515","0.917236","523,601","0.000282","[-0.000685, +0.001249]","0.000307","[-0.0747%, +0.1362%]","0.568062","-","0.641971","0.000197","0.000181"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.917751","90,800","0.919703","92,378","0.001956","[-0.000544, +0.004457]","0.002132","[-0.0593%, +0.4856%]","0.125152","-","0.091163","0.000194","0.000178"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.918283","598,543","0.918193","609,547","-0.000108","[-0.000983, +0.000766]","-0.000118","[-0.107%, +0.0834%]","0.808324","-","0.777416","-0.000092","-0.000084"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.015356","673,274","0.015394","685,443","0.000045","[-0.000327, +0.000416]","0.002899","[-2.1297%, +2.7094%]","0.814364","-","0.869050","0.002501","0.000039"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.015549","516,424","0.015625","529,738","0.000078","[-0.00036, +0.000516]","0.004992","[-2.3179%, +3.3162%]","0.728368","-","0.629694","0.003159","0.000049"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.014949","187,579","0.014864","187,003","-0.000083","[-0.00078, +0.000614]","-0.005533","[-5.2149%, +4.1083%]","0.816042","-","0.239261","-0.001276","-0.000020"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.011235","88,318","0.011563","89,786","0.000328","[-0.000652, +0.001309]","0.029199","[-5.8076%, +11.6475%]","0.511993","-","0.090456","0.001915","0.000030"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.015864","588,683","0.015864","599,410","0.000008","[-0.000391, +0.000406]","0.000475","[-2.4671%, +2.5621%]","0.970472","-","0.778658","0.000379","0.000006"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.014848","148,447","0.014728","150,503","-0.000107","[-0.000872, +0.000659]","-0.007182","[-5.8725%, +4.4361%]","0.784788","-","0.197361","-0.001359","-0.000021"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.012734","21,068","0.013010","21,471","0.000273","[-0.001651, +0.002197]","0.021433","[-12.9681%, +17.2546%]","0.781023","-","0.026476","0.000469","0.000007"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.015657","503,999","0.015745","513,690","0.000092","[-0.000345, +0.000529]","0.005886","[-2.202%, +3.3791%]","0.679332","-","0.641936","0.003823","0.000059"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.003908","673,235","0.003699","685,401","-0.000209","[-0.000393, -0.000025]","-0.053516","[-10.0678%, -0.6354%]","0.026147","Significant","0.869046","-0.045351","-0.000182"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.003915","148,441","0.003748","150,494","-0.000167","[-0.000555, +0.000221]","-0.042610","[-14.1678%, +5.6457%]","0.399225","-","0.197361","-0.008208","-0.000033"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.003633","21,067","0.002610","21,469","-0.001022","[-0.001978, -0.000065]","-0.281214","[-54.4522%, -1.7906%]","0.036327","Significant","0.026476","-0.006783","-0.000027"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.003931","503,967","0.003725","513,658","-0.000206","[-0.000421, +0.000009]","-0.052452","[-10.7201%, +0.2296%]","0.060413","-","0.641931","-0.033018","-0.000132"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.004015","516,383","0.003791","529,696","-0.000224","[-0.000443, -0.000006]","-0.055834","[-11.0212%, -0.1457%]","0.044169","Significant","0.629676","-0.035280","-0.000141"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.003641","187,579","0.003459","187,003","-0.000182","[-0.000525, +0.000161]","-0.049964","[-14.423%, +4.4303%]","0.298883","-","0.239273","-0.010853","-0.000043"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.004864","88,309","0.004181","89,770","-0.000682","[-0.001305, -0.00006]","-0.140297","[-26.8282%, -1.2312%]","0.031673","Significant","0.090447","-0.015395","-0.000062"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.003800","588,653","0.003645","599,384","-0.000155","[-0.000347, +0.000038]","-0.040683","[-9.1377%, +1.0011%]","0.115738","-","0.778663","-0.030059","-0.000120"
"dbd_avg_o2_package","Metric","N/A","","mean","0.701582","673,254","0.689714","685,414","-0.011920","[-0.013349, -0.010491]","-0.016991","[-1.9028%, -1.4954%]","0.000000","Significant","0.869045","-0.015240","-0.010362"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.677403","148,444","0.667185","150,503","-0.010277","[-0.01336, -0.007194]","-0.015171","[-1.9722%, -1.0619%]","0.000000","Significant","0.197366","-0.002984","-0.002029"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.708833","21,067","0.704784","21,469","-0.004020","[-0.012155, +0.004115]","-0.005672","[-1.7148%, +0.5805%]","0.332719","-","0.026476","-0.000158","-0.000107"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.708304","503,970","0.695482","513,657","-0.012857","[-0.014503, -0.011211]","-0.018151","[-2.0475%, -1.5827%]","0.000000","Significant","0.641926","-0.012149","-0.008261"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_package","","mean","0.690330","88,313","0.674321","89,778","-0.016010","[-0.020313, -0.011706]","-0.023191","[-2.9426%, -1.6957%]","0.000000","Significant","0.090453","-0.002129","-0.001448"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.702894","588,655","0.691499","599,384","-0.011450","[-0.012964, -0.009936]","-0.016290","[-1.8444%, -1.4136%]","0.000000","Significant","0.778657","-0.013119","-0.008921"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.651300","516,388","0.636432","529,705","-0.014914","[-0.016639, -0.01319]","-0.022899","[-2.5547%, -2.0251%]","0.000000","Significant","0.629678","-0.013831","-0.009405"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_package","","mean","0.832032","187,580","0.832664","187,002","0.000478","[-0.001753, +0.002709]","0.000575","[-0.2107%, +0.3256%]","0.674424","-","0.239272","0.000168","0.000114"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.683950","685,545","0.672160","698,108","-0.011878","[-0.013322, -0.010434]","-0.017367","[-1.9479%, -1.5256%]","0.000000","Significant","0.868529","-0.015405","-0.010320"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_sdb","","mean","0.662871","150,846","0.652089","152,960","-0.010923","[-0.01402, -0.007826]","-0.016479","[-2.1151%, -1.1806%]","0.000000","Significant","0.196886","-0.003212","-0.002152"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_sdb","","mean","0.695939","21,432","0.693563","21,805","-0.002388","[-0.010569, +0.005793]","-0.003431","[-1.5186%, +0.8324%]","0.567276","-","0.026396","-0.000095","-0.000063"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_sdb","","mean","0.689742","513,518","0.677165","523,602","-0.012631","[-0.014298, -0.010965]","-0.018313","[-2.0729%, -1.5897%]","0.000000","Significant","0.641972","-0.012116","-0.008117"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.660114","526,340","0.644154","540,117","-0.016004","[-0.0177, -0.014307]","-0.024244","[-2.6813%, -2.1674%]","0.000000","Significant","0.629417","-0.015058","-0.010088"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.745851","191,016","0.747405","190,448","0.001408","[-0.001277, +0.004092]","0.001887","[-0.1712%, +0.5487%]","0.304158","-","0.239012","0.000502","0.000336"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.688739","90,800","0.671260","92,378","-0.017471","[-0.021732, -0.01321]","-0.025367","[-3.1554%, -1.918%]","0.000000","Significant","0.091162","-0.002377","-0.001593"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.683399","598,546","0.672276","609,549","-0.011227","[-0.012761, -0.009693]","-0.016428","[-1.8672%, -1.4184%]","0.000000","Significant","0.777417","-0.013035","-0.008733"
"dbd_avg_o2_subtotal_1pc","Metric","N/A","","mean","13.234863","16,104","13.485348","16,437","0.262222","[-0.023079, +0.547523]","0.019813","[-0.1744%, +4.137%]","0.071637","-","0.948905","0.018800","0.248850"
"dbd_avg_o2_subtotal_3pc","Metric","N/A","","mean","11.064257","164,964","11.138535","168,800","0.073570","[+0.004156, +0.142984]","0.006649","[+0.0376%, +1.2923%]","0.037773","Significant","0.860825","0.005792","0.063365"
"dbd_avg_o2_subtotal_alc","Metric","N/A","","mean","20.999062","28,539","21.148387","28,990","0.148203","[-0.158874, +0.45528]","0.007058","[-0.7566%, +2.1681%]","0.344185","-","0.962538","0.006804","0.142636"
"dbd_avg_o2_subtotal_flowers","Metric","N/A","","mean","34.084762","84","32.769746","81","-0.641919","[-7.422932, +6.139093]","-0.018833","[-21.7779%, +18.0113%]","0.852807","-","0.946614","-0.017751","-0.608046"
"dbd_avg_o2_subtotal_grocery","Metric","N/A","","mean","19.533322","83,803","19.731720","85,971","0.194494","[-0.006472, +0.39546]","0.009957","[-0.0331%, +2.0245%]","0.057849","-","0.956825","0.009544","0.186124"
"dbd_avg_o2_subtotal_nv","Metric","N/A","","mean","14.693245","286,348","14.822850","292,906","0.129399","[+0.047023, +0.211775]","0.008807","[+0.32%, +1.4413%]","0.002079","Significant","0.900733","0.008104","0.116598"
"dbd_avg_o2_subtotal_pets","Metric","N/A","","mean","29.345938","2,308","31.283900","2,420","1.823136","[+0.151673, +3.494598]","0.062126","[+0.5168%, +11.9083%]","0.032532","Significant","0.968548","0.060129","1.765934"
"dbd_avg_o2_subtotal_rx","Metric","N/A","","mean","13.555651","440,495","13.599000","447,902","0.047002","[+0.003631, +0.090372]","0.003467","[+0.0268%, +0.6667%]","0.033666","Significant","0.849251","0.003033","0.039918"
"dbd_avg_o2_vp_1pc","Metric","N/A","","mean","-17.132612","16,104","-16.913767","16,437","0.193582","[-0.170839, +0.558003]","0.011299","[+0.9972%, -3.257%]","0.297810","-","0.948905","-0.010622","0.183710"
"dbd_avg_o2_vp_3pc","Metric","N/A","","mean","-0.342192","164,964","-0.333535","168,797","0.010647","[-0.017584, +0.038878]","0.031114","[+5.1386%, -11.3614%]","0.459796","-","0.860827","-0.028131","0.009170"
"dbd_avg_o2_vp_alc","Metric","N/A","","mean","0.618654","28,539","0.709521","28,990","0.085042","[-0.034076, +0.20416]","0.137463","[-5.5081%, +33.0007%]","0.161730","-","0.962538","0.137884","0.081848"
"dbd_avg_o2_vp_flowers","Metric","N/A","","mean","0.947260","84","1.322352","81","0.441253","[-1.672106, +2.554613]","0.465820","[-176.5203%, +269.6843%]","0.682374","-","0.946614","0.398575","0.417969"
"dbd_avg_o2_vp_grocery","Metric","N/A","","mean","-1.933556","83,801","-1.967418","85,968","-0.031083","[-0.08952, +0.027355]","-0.016075","[+4.6298%, -1.4147%]","0.297182","-","0.956825","0.015228","-0.029745"
"dbd_avg_o2_vp_nv","Metric","N/A","","mean","-1.586091","286,346","-1.567761","292,900","0.017961","[-0.019193, +0.055115]","0.011324","[+1.2101%, -3.4749%]","0.343391","-","0.900733","-0.010610","0.016184"
"dbd_avg_o2_vp_pets","Metric","N/A","","mean","-1.572881","2,308","-1.343661","2,420","0.221379","[-0.228161, +0.670918]","0.140747","[+14.5059%, -42.6554%]","0.334446","-","0.968548","-0.137237","0.214433"
"dbd_avg_o2_vp_rx","Metric","N/A","","mean","-0.387251","440,493","-0.382670","447,897","0.001177","[-0.019168, +0.021522]","0.003040","[+4.9497%, -5.5577%]","0.909699","-","0.849249","-0.002127","0.001000"
"dbd_bottom_sheet_load_latency_ios","Metric","N/A","","mean","0.068545","7,357,530","0.084969","7,363,132","0.016342","[+0.016125, +0.016558]","0.238405","[+23.5251%, +24.1559%]","0.000000","Significant","0.716507","0.171565","0.011795"
"dbd_cx_retrial","Metric","N/A","","mean","0.008490","8,349,517","0.008717","8,347,174","0.000227","[+0.000138, +0.000315]","0.026699","[+1.6266%, +3.7132%]","0.000001","Significant","0.830445","0.022172","0.002424"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.043076","4,646,210","0.044397","4,645,726","0.001310","[+0.001122, +0.001498]","0.030407","[+2.6045%, +3.4769%]","0.000000","Significant","0.783208","0.026593","0.001026"
"dbd_funnel_checkout_error","Metric","N/A","","mean","0.001235","7,223,829","0.001269","7,245,416","0.000034","[+0.000008, +0.00006]","0.027251","[+0.6223%, +4.8278%]","0.011084","Significant","0.756102","0.021666","0.000026"
"dbd_funnel_click_item","Metric","N/A","","mean","0.065101","7,223,829","0.067556","7,245,416","0.002457","[+0.002261, +0.002652]","0.037735","[+3.4732%, +4.0739%]","0.000000","Significant","0.756102","0.030110","0.001860"
"dbd_funnel_load_checkout","Metric","N/A","","mean","0.052475","7,223,829","0.054226","7,245,416","0.001757","[+0.001575, +0.00194]","0.033490","[+3.0015%, +3.6966%]","0.000000","Significant","0.756102","0.026853","0.001331"
"dbd_funnel_load_store","Metric","N/A","","mean","0.117196","7,223,829","0.104200","7,245,416","-0.012986","[-0.013245, -0.012728]","-0.110809","[-11.3018%, -10.8601%]","0.000000","Significant","0.756102","-0.088836","-0.009835"
"dbd_funnel_payment_error","Metric","N/A","","mean","0.001222","7,223,829","0.001256","7,245,416","0.000034","[+0.000008, +0.00006]","0.027970","[+0.6916%, +4.9024%]","0.009222","Significant","0.756102","0.022236","0.000026"
"dbd_funnel_tap_place_order","Metric","N/A","","mean","0.036512","7,223,829","0.037257","7,245,416","0.000751","[+0.000596, +0.000905]","0.020555","[+1.6334%, +2.4776%]","0.000000","Significant","0.756102","0.016753","0.000568"
"dbd_funnel_time_to_purchase","Metric","N/A","","mean","4.171536","516,015","4.595651","527,802","0.424131","[+0.405709, +0.442553]","0.101673","[+9.7257%, +10.6089%]","0.000000","Significant","0.860517","0.089191","0.366104"
