"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","15 mins treatment Value","15 mins treatment Exposure Volume","20 mins treatment Value","20 mins treatment Exposure Volume","20 mins treatment Absolute Impact","20 mins treatment Absolute Impact Confidence Interval","20 mins treatment Relative Impact","20 mins treatment Relative Impact Confidence Interval","20 mins treatment P Value","20 mins treatment Significance","20 mins treatment Coverage","20 mins treatment Relative Global Lift","20 mins treatment Absolute Global Lift"
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.000413","8,349,517","0.000383","8,347,174","-0.000030","[-0.000178, +0.000118]","-0.071843","[-43.0116%, +28.6431%]","0.694304","-","0.942013","-0.067677","-0.000025"
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.295738","8,349,517","0.306428","8,347,174","0.010695","[+0.006748, +0.014643]","0.036165","[+2.2816%, +4.9513%]","0.000000","Significant","0.957584","0.034631","0.009186"
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","0.836370","8,349,517","0.864952","8,347,174","0.027343","[+0.021378, +0.033308]","0.032692","[+2.556%, +3.9824%]","0.000000","Significant","0.915041","0.029915","0.023485"
"dbd_total_o2_gmv_pets","Metric","N/A","","mean","0.010665","8,349,517","0.011785","8,347,174","0.001026","[+0.000165, +0.001886]","0.096174","[+1.5513%, +17.6836%]","0.019444","Significant","0.967432","0.093042","0.000881"
"dbd_total_o2_gmv_rx","Metric","N/A","","mean","1.256883","8,349,517","1.283294","8,347,174","0.026780","[+0.020372, +0.033188]","0.021307","[+1.6208%, +2.6405%]","0.000000","Significant","0.865328","0.018437","0.023001"
"dbd_total_o2_orders_1pc","Metric","N/A","","mean","0.002113","8,349,517","0.002162","8,347,174","0.000047","[-0.000002, +0.000096]","0.022412","[-0.0811%, +4.5636%]","0.058556","-","0.948585","0.021260","0.000041"
"dbd_total_o2_orders_3pc","Metric","N/A","","mean","0.022966","8,349,517","0.023597","8,347,174","0.000602","[+0.000432, +0.000773]","0.026222","[+1.8803%, +3.3642%]","0.000000","Significant","0.859422","0.022536","0.000517"
"dbd_total_o2_orders_alc","Metric","N/A","","mean","0.003820","8,349,517","0.003871","8,347,174","0.000048","[-0.00002, +0.000115]","0.012435","[-0.5201%, +3.0072%]","0.166974","-","0.962142","0.011965","0.000041"
"dbd_total_o2_orders_flowers","Metric","N/A","","mean","0.000010","8,349,517","0.000010","8,347,174","0.000000","[-0.000003, +0.000003]","-0.000190","[-30.3553%, +30.3173%]","0.999020","-","0.952434","0.000000","0.000000"
"dbd_total_o2_orders_grocery","Metric","N/A","","mean","0.011240","8,349,517","0.011574","8,347,174","0.000325","[+0.000209, +0.000441]","0.028890","[+1.8586%, +3.9194%]","0.000000","Significant","0.956291","0.027627","0.000279"
"dbd_total_o2_orders_nv","Metric","N/A","","mean","0.040858","8,349,517","0.041963","8,347,174","0.001060","[+0.00083, +0.00129]","0.025936","[+2.0305%, +3.1566%]","0.000000","Significant","0.899695","0.023334","0.000910"
"dbd_total_o2_orders_pets","Metric","N/A","","mean","0.000286","8,349,517","0.000300","8,347,174","0.000014","[-0.000003, +0.000031]","0.048163","[-1.1365%, +10.7691%]","0.112788","-","0.968275","0.046635","0.000012"
"dbd_total_o2_orders_rx","Metric","N/A","","mean","0.064288","8,349,517","0.065403","8,347,174","0.001060","[+0.000767, +0.001353]","0.016485","[+1.1931%, +2.1039%]","0.000000","Significant","0.848155","0.013982","0.000910"
"doubledash_active_user","Metric","N/A","","mean","0.080766","8,349,517","0.082247","8,347,174","0.001497","[+0.001243, +0.001752]","0.018538","[+1.5389%, +2.1688%]","0.000000","Significant","0.870461","0.016137","0.016009"
"doubledash_l_28_d_mau","Metric","N/A","","mean","0.167651","8,349,517","0.168428","8,347,174","0.000847","[+0.000513, +0.00118]","0.005050","[+0.3059%, +0.7041%]","0.000001","Significant","0.563249","0.002844","0.002841"
"doubledash_l_28_d_post_checkout_mau","Metric","N/A","","mean","0.138358","8,349,517","0.139281","8,347,174","0.000974","[+0.000662, +0.001286]","0.007038","[+0.4784%, +0.9292%]","0.000000","Significant","0.564010","0.003970","0.003267"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","0.048690","8,349,517","0.048632","8,347,174","-0.000018","[-0.000214, +0.000179]","-0.000362","[-0.4404%, +0.3679%]","0.860570","-","0.578385","-0.000209","-0.000059"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","0.061978","8,349,517","0.063593","8,347,174","0.001622","[+0.001394, +0.001849]","0.026165","[+2.2496%, +2.9833%]","0.000000","Significant","0.864128","0.022609","0.017339"
