"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","Treatment A Value","Treatment A Exposure Volume","Treatment A Absolute Impact","Treatment A Absolute Impact Confidence Interval","Treatment A Relative Impact","Treatment A Relative Impact Confidence Interval","Treatment A P Value","Treatment A Significance","Treatment A Coverage","Treatment A Relative Global Lift","Treatment A Absolute Global Lift","Treatment B Value","Treatment B Exposure Volume","Treatment B Absolute Impact","Treatment B Absolute Impact Confidence Interval","Treatment B Relative Impact","Treatment B Relative Impact Confidence Interval","Treatment B P Value","Treatment B Significance","Treatment B Coverage","Treatment B Relative Global Lift","Treatment B Absolute Global Lift"
"dbd_pre_checkout_order_rate_14d","Metric","N/A","","mean","0.024771","6,972,158","0.024910","6,764,391","0.000104","[-0.000137, +0.000344]","0.004185","[-0.5516%, +1.3885%]","0.397812","-","0.371574","0.001555","0.000626","0.024780","6,761,916","0.000017","[-0.000222, +0.000255]","0.000669","[-0.8967%, +1.0306%]","0.891696","-","0.371574","0.000249","0.000100"
"dbd_pre_checkout_order_rate_28d","Metric","N/A","","mean","0.030899","6,972,158","0.031001","6,764,391","0.000057","[-0.000235, +0.000349]","0.001836","[-0.7621%, +1.1292%]","0.703601","-","0.463455","0.000851","0.000342","0.030928","6,761,916","0.000039","[-0.000252, +0.000329]","0.001253","[-0.8153%, +1.0659%]","0.794015","-","0.463455","0.000581","0.000234"
"dbd_pre_checkout_order_rate_7d","Metric","N/A","","mean","0.013474","6,972,158","0.013565","6,764,391","0.000072","[-0.000081, +0.000225]","0.005349","[-0.6006%, +1.6704%]","0.355856","-","0.202145","0.001081","0.000435","0.013562","6,761,916","0.000092","[-0.000061, +0.000245]","0.006833","[-0.4492%, +1.8158%]","0.237017","-","0.202145","0.001381","0.000556"
"dbd_total_o2_gmv_1pc","Metric","N/A","","mean","0.050255","6,972,158","0.051614","6,764,391","0.001310","[-0.000249, +0.002869]","0.026063","[-0.4961%, +5.7088%]","0.099652","-","0.576105","0.015015","0.000845","0.050548","6,761,916","0.000152","[-0.0014, +0.001704]","0.003030","[-2.7853%, +3.3914%]","0.847503","-","0.576105","0.001746","0.000098"
"dbd_total_o2_gmv_3pc","Metric","N/A","","mean","0.520860","6,972,158","0.528523","6,764,391","0.007457","[+0.002689, +0.012225]","0.014317","[+0.5163%, +2.3471%]","0.002175","Significant","0.544626","0.007797","0.004812","0.526458","6,761,916","0.005164","[+0.000426, +0.009902]","0.009914","[+0.0818%, +1.901%]","0.032661","Significant","0.544626","0.005399","0.003332"
"dbd_total_o2_gmv_alc","Metric","N/A","","mean","0.129418","6,972,158","0.130787","6,764,391","0.002004","[-0.001073, +0.005081]","0.015483","[-0.8292%, +3.9258%]","0.201806","-","0.522628","0.008092","0.001293","0.132639","6,761,916","0.003544","[+0.000363, +0.006725]","0.027382","[+0.2802%, +5.1962%]","0.029007","Significant","0.522628","0.014311","0.002287"
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.000844","6,972,158","0.000732","6,764,391","-0.000112","[-0.000338, +0.000114]","-0.132353","[-40.0179%, +13.5473%]","0.332760","-","0.632816","-0.083755","-0.000072","0.000618","6,761,916","-0.000226","[-0.000446, -0.000006]","-0.268014","[-52.8822%, -0.7207%]","0.043996","Significant","0.632816","-0.169604","-0.000146"
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.411775","6,972,158","0.412198","6,764,391","0.000299","[-0.005443, +0.006041]","0.000726","[-1.3218%, +1.467%]","0.918725","-","0.575241","0.000418","0.000193","0.408914","6,761,916","-0.003336","[-0.009059, +0.002386]","-0.008103","[-2.2001%, +0.5795%]","0.253173","-","0.575241","-0.004661","-0.002153"
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","1.236820","6,972,158","1.245448","6,764,391","0.009090","[-0.000236, +0.018417]","0.007350","[-0.0191%, +1.489%]","0.056094","-","0.561272","0.004125","0.005865","1.242234","6,761,916","0.005599","[-0.003693, +0.014892]","0.004527","[-0.2986%, +1.2041%]","0.237615","-","0.561272","0.002541","0.003613"
"dbd_total_o2_gmv_pets","Metric","N/A","","mean","0.015891","6,972,158","0.015281","6,764,391","-0.000580","[-0.001707, +0.000547]","-0.036479","[-10.741%, +3.4453%]","0.313467","-","0.599376","-0.021865","-0.000374","0.016086","6,761,916","0.000236","[-0.000895, +0.001367]","0.014850","[-5.6295%, +8.5994%]","0.682473","-","0.599376","0.008900","0.000152"
"dbd_total_o2_gmv_rx","Metric","N/A","","mean","1.783765","6,972,158","1.790896","6,764,391","0.004978","[-0.004756, +0.014712]","0.002790","[-0.2667%, +0.8247%]","0.316227","-","0.574619","0.001603","0.003212","1.792108","6,761,916","0.007248","[-0.002568, +0.017064]","0.004063","[-0.1439%, +0.9566%]","0.147823","-","0.574619","0.002335","0.004677"
"dbd_total_o2_orders_1pc","Metric","N/A","","mean","0.002656","6,972,158","0.002709","6,764,391","0.000054","[-0.000013, +0.00012]","0.020273","[-0.4781%, +4.5328%]","0.112753","-","0.566617","0.011487","0.000035","0.002627","6,761,916","-0.000030","[-0.000096, +0.000036]","-0.011236","[-3.6032%, +1.356%]","0.374460","-","0.566617","-0.006367","-0.000019"
"dbd_total_o2_orders_3pc","Metric","N/A","","mean","0.031303","6,972,158","0.031716","6,764,391","0.000427","[+0.000173, +0.00068]","0.013633","[+0.5535%, +2.1732%]","0.000968","Significant","0.538997","0.007348","0.000275","0.031662","6,761,916","0.000352","[+0.0001, +0.000605]","0.011252","[+0.3185%, +1.9319%]","0.006262","Significant","0.538997","0.006065","0.000227"
"dbd_total_o2_orders_alc","Metric","N/A","","mean","0.004463","6,972,158","0.004513","6,764,391","0.000052","[-0.000039, +0.000143]","0.011676","[-0.8733%, +3.2084%]","0.262170","-","0.501420","0.005854","0.000034","0.004517","6,761,916","0.000053","[-0.000039, +0.000144]","0.011765","[-0.8665%, +3.2196%]","0.259036","-","0.501420","0.005899","0.000034"
"dbd_total_o2_orders_flowers","Metric","N/A","","mean","0.000020","6,972,158","0.000018","6,764,391","-0.000002","[-0.000007, +0.000003]","-0.099856","[-33.3358%, +13.3646%]","0.401936","-","0.589039","-0.058819","-0.000001","0.000016","6,761,916","-0.000004","[-0.000009, +0.000001]","-0.200142","[-43.0605%, +3.032%]","0.088736","-","0.589039","-0.117892","-0.000003"
"dbd_total_o2_orders_grocery","Metric","N/A","","mean","0.013597","6,972,158","0.013731","6,764,391","0.000138","[-0.000019, +0.000294]","0.010132","[-0.1374%, +2.1639%]","0.084373","-","0.546843","0.005541","0.000089","0.013617","6,761,916","0.000015","[-0.000141, +0.000171]","0.001070","[-1.0406%, +1.2546%]","0.855022","-","0.546843","0.000585","0.000009"
"dbd_total_o2_orders_nv","Metric","N/A","","mean","0.055702","6,972,158","0.056316","6,764,391","0.000641","[+0.000294, +0.000989]","0.011516","[+0.527%, +1.7763%]","0.000302","Significant","0.543084","0.006254","0.000414","0.056103","6,761,916","0.000386","[+0.000039, +0.000733]","0.006935","[+0.0707%, +1.3163%]","0.029076","Significant","0.543084","0.003766","0.000249"
"dbd_total_o2_orders_pets","Metric","N/A","","mean","0.000409","6,972,158","0.000384","6,764,391","-0.000025","[-0.000048, -0.000002]","-0.060799","[-11.6521%, -0.5076%]","0.032476","Significant","0.584650","-0.035546","-0.000016","0.000417","6,761,916","0.000008","[-0.000016, +0.000031]","0.019265","[-3.7935%, +7.6466%]","0.509178","-","0.584650","0.011263","0.000005"
"dbd_total_o2_orders_rx","Metric","N/A","","mean","0.090895","6,972,158","0.091487","6,764,391","0.000600","[+0.000142, +0.001058]","0.006605","[+0.1565%, +1.1645%]","0.010211","Significant","0.573961","0.003791","0.000387","0.091448","6,761,916","0.000502","[+0.000044, +0.00096]","0.005522","[+0.0485%, +1.0558%]","0.031642","Significant","0.573961","0.003169","0.000324"
