"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","Treatment A Value","Treatment A Exposure Volume","Treatment A Absolute Impact","Treatment A Absolute Impact Confidence Interval","Treatment A Relative Impact","Treatment A Relative Impact Confidence Interval","Treatment A P Value","Treatment A Significance","Treatment A Coverage","Treatment A Relative Global Lift","Treatment A Absolute Global Lift","Treatment B Value","Treatment B Exposure Volume","Treatment B Absolute Impact","Treatment B Absolute Impact Confidence Interval","Treatment B Relative Impact","Treatment B Relative Impact Confidence Interval","Treatment B P Value","Treatment B Significance","Treatment B Coverage","Treatment B Relative Global Lift","Treatment B Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.005133","6,972,158","0.005104","6,764,391","-0.000030","[-0.000105, +0.000046]","-0.005746","[-2.0449%, +0.8956%]","0.443665","-","","","","0.005118","6,761,916","-0.000014","[-0.00009, +0.000061]","-0.002800","[-1.7514%, +1.1913%]","0.709125","-","","",""
"active_share_7d","Metric","N/A","","mean","0.530247","6,972,158","0.530399","6,764,391","0.000210","[-0.000288, +0.000708]","0.000396","[-0.0543%, +0.1335%]","0.408274","-","","","","0.530695","6,761,916","0.000382","[-0.000116, +0.00088]","0.000720","[-0.0219%, +0.1659%]","0.132659","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","4.085531","6,972,158","4.089357","6,764,391","0.003841","[-0.004711, +0.012392]","0.000940","[-0.1153%, +0.3033%]","0.378759","-","0.579337","0.000545","0.001570","4.088757","6,761,916","0.001975","[-0.00657, +0.01052]","0.000483","[-0.1608%, +0.2575%]","0.650557","-","0.579337","0.000280","0.000807"
"ads_revenue","Metric","N/A","","mean","1.797545","6,972,158","1.796857","6,764,391","0.000052","[-0.004052, +0.004156]","0.000029","[-0.2254%, +0.2312%]","0.980132","-","0.463137","0.000013","0.000018","1.797437","6,761,916","-0.000331","[-0.004436, +0.003773]","-0.000184","[-0.2468%, +0.2099%]","0.874225","-","0.463137","-0.000085","-0.000112"
"avg_dat_mins","Metric","N/A","","mean","1215.654854","6,816,265","1215.448614","6,612,740","-0.232517","[-0.737528, +0.272494]","-0.000191","[-0.0607%, +0.0224%]","0.366841","-","0.540233","-0.000104","-0.125591","1215.512668","6,610,954","-0.144103","[-0.648982, +0.360776]","-0.000119","[-0.0534%, +0.0297%]","0.575879","-","0.540233","-0.000064","-0.077859"
"cng_order_rate_nc","Metric","N/A","","mean","0.584789","6,972,158","0.583442","6,764,391","-0.000445","[-0.001827, +0.000937]","-0.000761","[-0.3125%, +0.1603%]","0.528105","-","0.589785","-0.000449","-0.001037","0.584854","6,761,916","0.000493","[-0.00089, +0.001875]","0.000843","[-0.1521%, +0.3207%]","0.484763","-","0.589785","0.000497","0.001149"
"consumer_mto","Metric","N/A","","mean","0.048638","6,972,158","0.048718","6,764,391","0.000080","[-0.000316, +0.000477]","0.001647","[-0.6506%, +0.9801%]","0.692104","-","0.433194","0.000714","0.000709","0.048622","6,761,916","-0.000047","[-0.000443, +0.00035]","-0.000961","[-0.9117%, +0.7195%]","0.817331","-","0.433194","-0.000416","-0.000414"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","5.612115","6,807,593","5.609442","6,603,979","-0.004616","[-0.011287, +0.002056]","-0.000822","[-0.2011%, +0.0366%]","0.175142","-","0.440455","-0.000291","-0.002033","5.613821","6,601,969","-0.000459","[-0.007136, +0.006217]","-0.000082","[-0.1271%, +0.1108%]","0.892701","-","0.440455","-0.000029","-0.000202"
"consumers_mau","Metric","N/A","","mean","0.976397","6,972,158","0.976286","6,764,391","-0.000102","[-0.000261, +0.000058]","-0.000104","[-0.0268%, +0.006%]","0.212807","-","0.440469","-0.000046","-0.000023","0.976346","6,761,916","-0.000043","[-0.000202, +0.000117]","-0.000044","[-0.0207%, +0.012%]","0.600716","-","0.440469","-0.000019","-0.000010"
"core_quality_cancellation","Metric","N/A","","mean","0.016392","6,936,437","0.016450","6,729,742","0.000057","[-0.000019, +0.000134]","0.003482","[-0.1185%, +0.8148%]","0.143637","-","0.600627","0.002105","0.000034","0.016433","6,727,088","0.000041","[-0.000036, +0.000117]","0.002481","[-0.218%, +0.7143%]","0.296774","-","0.600627","0.001501","0.000024"
"cx_app_quality_action_load_latency_android","Metric","N/A","","mean","0.005957","41,035","0.006090","39,736","0.000159","[-0.000273, +0.000591]","0.026641","[-4.5842%, +9.9123%]","0.471294","-","0.020198","0.000437","0.000003","0.005909","39,545","-0.000036","[-0.000461, +0.000388]","-0.006120","[-7.731%, +6.507%]","0.866194","-","0.020198","0.000000","0.000000"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.800000","5","0.750000","4","-0.050000","[-0.677495, +0.577495]","-0.062500","[-84.6868%, +72.1868%]","0.875896","-","0.000000","0.000000","0.000000","1.000000","4","0.200000","[-0.191993, +0.591993]","0.250000","[-23.9991%, +73.9991%]","0.317311","-","0.000000","0.000000","0.000000"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.004978","25,783","0.004720","42,770","-0.000542","[-0.001097, +0.000012]","-0.108919","[-22.0341%, +0.2502%]","0.055371","-","0.008046","-0.000668","-0.000005","0.004813","24,861","-0.000195","[-0.000803, +0.000414]","-0.039107","[-16.128%, +8.3066%]","0.530413","-","0.008046","-0.000214","-0.000002"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.017390","15,738","0.018000","26,590","0.000605","[-0.001133, +0.002343]","0.034801","[-6.5125%, +13.4727%]","0.494864","-","0.001850","0.000162","0.000001","0.018644","15,112","0.001255","[-0.000736, +0.003247]","0.072187","[-4.2326%, +18.67%]","0.216634","-","0.001850","0.000315","0.000002"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_android","","mean","0.004010","23,581","0.003334","39,438","-0.000591","[-0.001366, +0.000183]","-0.147488","[-34.0643%, +4.5666%]","0.134501","-","0.002491","-0.000225","-0.000002","0.003582","22,849","-0.000425","[-0.001379, +0.000528]","-0.106077","[-34.3945%, +13.1792%]","0.382096","-","0.002491","-0.000145","-0.000001"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_android","","mean","0.307692","51","0.271605","77","-0.039587","[-0.201318, +0.122144]","-0.128659","[-65.4286%, +39.6968%]","0.631409","-","0.000001","0.000000","0.000000","0.166667","47","-0.141296","[-0.308231, +0.025639]","-0.459212","[-100.1752%, +8.3327%]","0.097128","-","0.000001","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_android","","mean","0.133334","72","0.134328","93","-0.000327","[-0.102502, +0.101848]","-0.002453","[-76.8764%, +76.3857%]","0.994993","-","0.000002","0.000000","0.000000","0.111111","44","-0.024581","[-0.138835, +0.089674]","-0.184355","[-104.126%, +67.255%]","0.673268","-","0.000002","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_android","","mean","0.003716","14,048","0.003332","24,050","-0.000410","[-0.001239, +0.000419]","-0.110350","[-33.3491%, +11.279%]","0.332411","-","0.001518","0.000000","0.000000","0.003526","13,444","-0.000198","[-0.001218, +0.000822]","-0.053389","[-32.7848%, +22.107%]","0.703010","-","0.001518","0.000000","0.000000"
"cx_app_quality_action_load_latency_ios","Metric","N/A","","mean","0.010076","6,577,603","0.010063","6,382,339","-0.000011","[-0.000056, +0.000033]","-0.001123","[-0.5542%, +0.3296%]","0.618429","-","0.579269","-0.000582","-0.000007","0.010068","6,379,979","-0.000009","[-0.000054, +0.000036]","-0.000875","[-0.5315%, +0.3564%]","0.699241","-","0.579269","-0.000453","-0.000005"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.047026","156,825","0.042420","295,134","-0.004119","[-0.005313, -0.002924]","-0.087582","[-11.2986%, -6.2178%]","0.000000","Significant","0.001165","-0.000439","-0.000005","0.046074","151,723","-0.000976","[-0.002376, +0.000423]","-0.020756","[-5.0516%, +0.9003%]","0.171618","-","0.001165","-0.000100","-0.000001"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.013626","2,928,776","0.013621","4,849,484","-0.000457","[-0.000531, -0.000383]","-0.033533","[-3.8964%, -2.8103%]","0.000000","Significant","0.162347","-0.008990","-0.000102","0.013632","2,840,556","0.000007","[-0.00008, +0.000093]","0.000494","[-0.5852%, +0.684%]","0.878634","-","0.162347","0.000096","0.000001"
"action_dimension_cx_create_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.024027","340,057","0.023261","578,675","-0.001319","[-0.002495, -0.000142]","-0.054881","[-10.3835%, -0.5926%]","0.028004","Significant","0.002439","-0.000291","-0.000003","0.022692","329,311","-0.001319","[-0.002541, -0.000097]","-0.054892","[-10.5766%, -0.4017%]","0.034453","Significant","0.002439","-0.000283","-0.000003"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.005276","1,804,014","0.005086","3,219,930","-0.000155","[-0.000231, -0.000079]","-0.029325","[-4.3733%, -1.4917%]","0.000066","Significant","0.044700","-0.000741","-0.000008","0.005255","1,749,631","-0.000022","[-0.000112, +0.000069]","-0.004112","[-2.1223%, +1.2999%]","0.637614","-","0.044700","0.000000","0.000000"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.001588","4,542,652","0.001408","7,163,940","-0.000105","[-0.000143, -0.000066]","-0.065964","[-9.0082%, -4.1846%]","0.000000","Significant","0.068436","-0.000859","-0.000010","0.001571","4,404,296","-0.000018","[-0.000062, +0.000027]","-0.011017","[-3.9279%, +1.7245%]","0.444845","-","0.068436","-0.000105","-0.000001"
"action_dimension_cx_set_address","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.017900","616,165","0.017636","1,165,558","-0.000292","[-0.000732, +0.000147]","-0.016339","[-4.0866%, +0.8188%]","0.191679","-","0.007255","-0.000224","-0.000003","0.017933","597,260","0.000033","[-0.000467, +0.000533]","0.001837","[-2.6077%, +2.9752%]","0.897359","-","0.007255","0.000000","0.000000"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.011683","474,299","0.011342","965,378","-0.000325","[-0.000593, -0.000056]","-0.027794","[-5.0795%, -0.4793%]","0.017867","Significant","0.007108","-0.000259","-0.000003","0.011708","460,609","0.000025","[-0.00031, +0.000361]","0.002179","[-2.6575%, +3.0934%]","0.881912","-","0.007108","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_ios","","mean","0.012973","1,486,204","0.012471","2,799,856","-0.000532","[-0.000684, -0.000381]","-0.041046","[-5.2711%, -2.9381%]","0.000000","Significant","0.034081","-0.001997","-0.000023","0.013131","1,440,250","0.000159","[-0.000023, +0.00034]","0.012242","[-0.1758%, +2.6241%]","0.086555","-","0.034081","0.000476","0.000005"
"cx_app_quality_action_load_latency_web","Metric","N/A","","mean","0.020717","98,265","0.020973","95,190","0.000279","[-0.000577, +0.001136]","0.013489","[-2.7865%, +5.4843%]","0.522619","-","0.126200","0.001069","0.000035","0.020547","95,780","-0.000176","[-0.001018, +0.000666]","-0.008503","[-4.9147%, +3.214%]","0.681763","-","0.126200","-0.000680","-0.000022"
"action_dimension_cx_add_payment_method","Dimension","cx_app_quality_action_load_latency_web","","mean","0.012661","6,627","0.016850","10,634","0.004247","[+0.000602, +0.007891]","0.335432","[+4.7585%, +62.3279%]","0.022373","Significant","0.001619","0.000216","0.000007","0.017779","6,540","0.005030","[+0.000924, +0.009136]","0.397289","[+7.3012%, +72.1566%]","0.016339","Significant","0.001619","0.000245","0.000008"
"action_dimension_cx_add_to_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.019913","35,327","0.020313","58,910","0.000438","[-0.000884, +0.001759]","0.021971","[-4.4386%, +8.8328%]","0.516368","-","0.030488","0.000428","0.000014","0.019348","34,349","-0.000569","[-0.002098, +0.00096]","-0.028571","[-10.5368%, +4.8226%]","0.465896","-","0.030488","-0.000525","-0.000017"
"action_dimension_cx_delete_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.007050","28,960","0.006410","47,502","-0.000637","[-0.001978, +0.000704]","-0.090328","[-28.0543%, +9.9887%]","0.351990","-","0.017706","-0.000353","-0.000012","0.005869","28,592","-0.001186","[-0.002634, +0.000262]","-0.168192","[-37.3587%, +3.7204%]","0.108505","-","0.017706","-0.000641","-0.000021"
"action_dimension_cx_place_order","Dimension","cx_app_quality_action_load_latency_web","","mean","0.023382","52,171","0.024556","84,213","0.000913","[-0.000741, +0.002566]","0.039027","[-3.1711%, +10.9765%]","0.279545","-","0.027554","0.000812","0.000027","0.023312","50,887","-0.000049","[-0.001831, +0.001732]","-0.002101","[-7.829%, +7.4087%]","0.956888","-","0.027554","-0.000041","-0.000001"
"action_dimension_cx_set_payment_method","Dimension","cx_app_quality_action_load_latency_web","","mean","0.006382","11,143","0.005841","19,336","-0.000548","[-0.002261, +0.001165]","-0.085884","[-35.4235%, +18.2466%]","0.530477","-","0.004163","-0.000072","-0.000002","0.006345","10,937","-0.000038","[-0.001942, +0.001865]","-0.006028","[-30.4203%, +29.2147%]","0.968394","-","0.004163","0.000000","0.000000"
"action_dimension_cx_update_cart","Dimension","cx_app_quality_action_load_latency_web","","mean","0.052193","17,937","0.052188","30,402","-0.000135","[-0.004607, +0.004336]","-0.002591","[-8.8267%, +8.3085%]","0.952729","-","0.008836","-0.000037","-0.000001","0.052186","17,512","-0.000045","[-0.004781, +0.004691]","-0.000864","[-9.1599%, +8.987%]","0.985108","-","0.008836","0.000000","0.000000"
"cx_app_quality_crash_android","Metric","N/A","","mean","0.000082","55,048","0.000089","53,475","0.000007","[-0.00001, +0.000024]","0.083709","[-12.1895%, +28.9314%]","0.424885","-","0.020451","0.000000","0.000000","0.000093","53,219","0.000010","[-0.000008, +0.000028]","0.123656","[-9.4246%, +34.1557%]","0.266030","-","0.020451","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000086","24,731","0.000077","41,187","-0.000010","[-0.000074, +0.000054]","-0.113264","[-86.3222%, +63.6694%]","0.767224","-","0.001690","0.000000","0.000000","0.000054","23,977","-0.000032","[-0.000091, +0.000028]","-0.369817","[-106.6415%, +32.6781%]","0.298095","-","0.001690","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_android","","mean","0.000032","35,292","0.000037","57,861","0.000006","[-0.000014, +0.000025]","0.173847","[-43.1253%, +77.8947%]","0.573365","-","0.002732","0.000000","0.000000","0.000034","34,256","0.000003","[-0.000019, +0.000025]","0.080992","[-60.7385%, +76.9369%]","0.817623","-","0.002732","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","27,117","0.000002","44,796","0.000002","[-0.000001, +0.000005]","","[]","0.161624","-","0.002610","0.000000","0.000000","0.000002","26,119","0.000002","[-0.000002, +0.000006]","","[]","0.321122","-","0.002610","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_android","","mean","0.000606","26,496","0.000720","43,936","0.000102","[-0.000045, +0.000248]","0.167935","[-7.3763%, +40.9633%]","0.173259","-","0.001326","0.000000","0.000000","0.000804","25,664","0.000195","[-0.000047, +0.000437]","0.321802","[-7.6912%, +72.0515%]","0.113675","-","0.001326","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","29,563","0.000002","49,832","0.000002","[-0.000002, +0.000006]","","[]","0.293617","-","0.001428","0.000000","0.000000","0.000000","28,712","0.000000","[0, 0]","","[]","0.217160","-","0.001428","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_android","","mean","0.000014","17,652","0.000053","29,754","0.000040","[-0.000021, +0.0001]","2.810622","[-148.4802%, +710.6046%]","0.199681","-","0.000369","0.000000","0.000000","0.000057","17,010","0.000044","[-0.000019, +0.000106]","3.081087","[-136.1837%, +752.4012%]","0.174083","-","0.000369","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_android","","mean","0.000000","29,632","0.000000","48,537","0.000000","[0, 0]","","[]","1.000000","-","0.001918","0.000000","0.000000","0.000000","28,500","0.000000","[0, 0]","","[]","1.000000","-","0.001918","0.000000","0.000000"
"cx_app_quality_crash_ios","Metric","N/A","","mean","0.000046","6,944,097","0.000046","6,737,082","0.000000","[-0.000001, +0.000001]","-0.005828","[-2.8941%, +1.7285%]","0.621177","-","0.578580","0.000000","0.000000","0.000047","6,734,768","0.000001","[0, +0.000002]","0.018130","[-0.4847%, +4.1107%]","0.121980","-","0.578580","0.000000","0.000000"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000089","2,810,077","0.000088","4,716,068","0.000001","[-0.000005, +0.000008]","0.015790","[-5.2455%, +8.4034%]","0.650210","-","0.018674","0.000000","0.000000","0.000090","2,724,941","0.000001","[-0.000006, +0.000008]","0.007478","[-7.1302%, +8.6257%]","0.852414","-","0.018674","0.000000","0.000000"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_ios","","mean","0.000022","4,905,675","0.000020","7,623,751","-0.000003","[-0.000004, -0.000001]","-0.116702","[-17.1537%, -6.1866%]","0.000030","Significant","0.107632","0.000000","0.000000","0.000022","4,756,158","0.000000","[-0.000001, +0.000002]","0.010102","[-5.4439%, +7.4643%]","0.759008","-","0.107632","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_ios","","mean","0.000027","3,106,690","0.000027","5,058,696","-0.000001","[-0.000004, +0.000001]","-0.047703","[-13.2208%, +3.6801%]","0.268550","-","0.040855","0.000000","0.000000","0.000029","3,014,406","0.000002","[0, +0.000005]","0.084571","[-1.8221%, +18.7362%]","0.106844","-","0.040855","0.000000","0.000000"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_crash_ios","","mean","0.000078","3,013,452","0.000069","4,969,211","-0.000009","[-0.000022, +0.000003]","-0.120405","[-27.9546%, +3.8737%]","0.138105","-","0.025004","0.000000","0.000000","0.000079","2,922,796","0.000001","[-0.000014, +0.000015]","0.010287","[-17.3818%, +19.4392%]","0.912797","-","0.025004","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_ios","","mean","0.000235","4,970,656","0.000225","7,743,850","-0.000009","[-0.000017, -0.000002]","-0.038470","[-7.0254%, -0.6686%]","0.017681","Significant","0.028107","0.000000","0.000000","0.000234","4,819,675","-0.000001","[-0.00001, +0.000008]","-0.004127","[-4.1172%, +3.2918%]","0.827140","-","0.028107","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_ios","","mean","0.000039","2,296,948","0.000033","3,853,286","-0.000007","[-0.000012, -0.000002]","-0.181025","[-30.5341%, -5.671%]","0.004317","Significant","0.010014","0.000000","0.000000","0.000035","2,221,475","-0.000004","[-0.00001, +0.000002]","-0.105229","[-25.4029%, +4.3571%]","0.165728","-","0.010014","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_ios","","mean","0.000042","3,491,244","0.000042","5,542,711","-0.000006","[-0.000009, -0.000003]","-0.135144","[-20.0922%, -6.9366%]","0.000057","Significant","0.050258","0.000000","0.000000","0.000042","3,385,856","-0.000001","[-0.000004, +0.000002]","-0.022383","[-9.4912%, +5.0145%]","0.545264","-","0.050258","0.000000","0.000000"
"cx_app_quality_crash_web","Metric","N/A","","mean","0.003359","120,382","0.003233","116,237","-0.000122","[-0.000527, +0.000284]","-0.036224","[-15.6967%, +8.4519%]","0.556525","-","0.125208","-0.005506","-0.000015","0.003272","116,836","-0.000082","[-0.000492, +0.000327]","-0.024537","[-14.6492%, +9.7417%]","0.693327","-","0.125208","-0.003753","-0.000010"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_crash_web","","mean","0.011143","49,858","0.009928","80,690","-0.001094","[-0.00287, +0.000682]","-0.098178","[-25.7604%, +6.1248%]","0.227439","-","0.020624","-0.009100","-0.000024","0.011366","48,527","0.000204","[-0.001891, +0.002299]","0.018276","[-16.9731%, +20.6283%]","0.848895","-","0.020624","0.001595","0.000004"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_crash_web","","mean","0.000175","64,286","0.000163","102,663","-0.000009","[-0.00009, +0.000071]","-0.054051","[-51.1626%, +40.3524%]","0.816910","-","0.024062","0.000000","0.000000","0.000168","62,464","-0.000007","[-0.000098, +0.000083]","-0.041559","[-55.7275%, +47.4157%]","0.874501","-","0.024062","0.000000","0.000000"
"page_dimension_cx_item_page","Dimension","cx_app_quality_crash_web","","mean","0.000000","29,112","0.000000","48,221","0.000000","[0, 0]","","[]","1.000000","-","0.007536","0.000000","0.000000","0.000000","28,554","0.000000","[0, 0]","","[]","1.000000","-","0.007536","0.000000","0.000000"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_crash_web","","mean","0.000377","19,529","0.000276","31,181","-0.000099","[-0.000337, +0.000139]","-0.262035","[-89.3487%, +36.9417%]","0.416028","-","0.005073","0.000000","0.000000","0.000364","18,827","-0.000014","[-0.000292, +0.000265]","-0.036035","[-77.4004%, +70.1934%]","0.923755","-","0.005073","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_crash_web","","mean","0.001816","4,609","0.001047","7,747","-0.000730","[-0.001995, +0.000535]","-0.401863","[-109.8417%, +29.4692%]","0.258156","-","0.000790","0.000000","0.000000","0.001330","4,424","-0.000476","[-0.001889, +0.000937]","-0.262145","[-104.0137%, +51.5847%]","0.508989","-","0.000790","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_crash_web","","mean","0.000669","50,754","0.000614","81,572","-0.000054","[-0.000229, +0.000121]","-0.080513","[-34.2174%, +18.1148%]","0.546454","-","0.027956","-0.000612","-0.000002","0.000539","49,086","-0.000131","[-0.000319, +0.000058]","-0.195031","[-47.6443%, +8.6381%]","0.174355","-","0.027956","-0.001400","-0.000004"
"cx_app_quality_hitch_android","Metric","N/A","","mean","0.065002","55,005","0.063957","53,435","0.000160","[-0.00137, +0.00169]","0.002458","[-2.1078%, +2.5994%]","0.837831","-","0.020579","0.000048","0.000003","0.064418","53,122","0.000729","[-0.00084, +0.002298]","0.011214","[-1.293%, +3.5358%]","0.362639","-","0.020579","0.000217","0.000015"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_hitch_android","","mean","0.035219","26,435","0.035853","44,285","-0.003238","[-0.005864, -0.000611]","-0.091932","[-16.651%, -1.7353%]","0.015691","Significant","0.000778","-0.000040","-0.000003","0.033493","25,643","-0.002087","[-0.004801, +0.000626]","-0.059270","[-13.6309%, +1.7768%]","0.131572","-","0.000778","-0.000024","-0.000002"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_hitch_android","","mean","0.103978","35,488","0.107473","59,230","-0.002806","[-0.005529, -0.000083]","-0.026984","[-5.3171%, -0.0798%]","0.043417","Significant","0.002251","-0.000103","-0.000007","0.100879","34,416","-0.002148","[-0.005144, +0.000849]","-0.020655","[-4.9474%, +0.8164%]","0.160102","-","0.002251","-0.000071","-0.000005"
"page_dimension_cx_item_page","Dimension","cx_app_quality_hitch_android","","mean","0.026224","27,376","0.026401","45,585","-0.002603","[-0.004389, -0.000817]","-0.099250","[-16.7347%, -3.1152%]","0.004282","Significant","0.002164","-0.000092","-0.000006","0.025440","26,358","-0.001460","[-0.003405, +0.000485]","-0.055674","[-12.9857%, +1.8509%]","0.141305","-","0.002164","-0.000046","-0.000003"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_hitch_android","","mean","0.067911","28,350","0.069978","47,419","-0.001310","[-0.004774, +0.002154]","-0.019289","[-7.0293%, +3.1716%]","0.458565","-","0.001440","-0.000030","-0.000002","0.066099","27,499","-0.000825","[-0.004537, +0.002886]","-0.012154","[-6.6807%, +4.25%]","0.662951","-","0.001440","-0.000017","-0.000001"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_hitch_android","","mean","0.068498","29,964","0.069567","51,281","-0.001363","[-0.003496, +0.00077]","-0.019903","[-5.1045%, +1.1239%]","0.210346","-","0.002145","-0.000047","-0.000003","0.066625","29,022","-0.001673","[-0.004448, +0.001102]","-0.024421","[-6.4935%, +1.6093%]","0.237427","-","0.002145","-0.000053","-0.000004"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_hitch_android","","mean","0.074575","24,143","0.076498","40,545","-0.002057","[-0.005071, +0.000958]","-0.027578","[-6.7996%, +1.2841%]","0.181127","-","0.000936","-0.000031","-0.000002","0.072307","23,317","-0.002504","[-0.005858, +0.00085]","-0.033575","[-7.8551%, +1.1402%]","0.143437","-","0.000936","-0.000034","-0.000002"
"page_dimension_cx_store_page","Dimension","cx_app_quality_hitch_android","","mean","0.048281","30,123","0.048560","49,818","-0.003396","[-0.005355, -0.001438]","-0.070347","[-11.0908%, -2.9785%]","0.000676","Significant","0.003203","-0.000179","-0.000012","0.046212","28,924","-0.001977","[-0.004056, +0.000103]","-0.040940","[-8.4008%, +0.2129%]","0.062452","-","0.003203","-0.000093","-0.000006"
"cx_app_quality_hitch_ios","Metric","N/A","","mean","0.174207","6,338,837","0.174158","6,151,590","0.000157","[-0.000111, +0.000425]","0.000899","[-0.0639%, +0.2438%]","0.251812","-","0.566411","0.000497","0.000089","0.174239","6,148,900","0.000195","[-0.000075, +0.000466]","0.001122","[-0.043%, +0.2673%]","0.156578","-","0.566411","0.000619","0.000111"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_hitch_ios","","mean","0.185467","3,914,116","0.206002","6,517,319","0.008260","[+0.007801, +0.00872]","0.044537","[+4.2061%, +4.7014%]","0.000000","Significant","0.044024","0.002779","0.000492","0.185393","3,793,495","-0.000224","[-0.000754, +0.000306]","-0.001206","[-0.4064%, +0.1651%]","0.407960","-","0.044024","-0.000056","-0.000010"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_hitch_ios","","mean","0.211983","2,974,724","0.212963","4,968,914","-0.005951","[-0.00659, -0.005313]","-0.028074","[-3.1088%, -2.5061%]","0.000000","Significant","0.051200","-0.002329","-0.000413","0.211610","2,884,345","-0.000239","[-0.00099, +0.000512]","-0.001126","[-0.467%, +0.2418%]","0.533307","-","0.051200","-0.000069","-0.000012"
"page_dimension_cx_item_page","Dimension","cx_app_quality_hitch_ios","","mean","0.117984","2,840,500","0.120686","4,827,319","-0.004703","[-0.005092, -0.004314]","-0.039861","[-4.3162%, -3.6561%]","0.000000","Significant","0.079845","-0.002882","-0.000511","0.118302","2,755,668","0.000365","[-0.000092, +0.000821]","0.003091","[-0.078%, +0.6962%]","0.117547","-","0.079845","0.000164","0.000029"
"page_dimension_cx_order_cart_page","Dimension","cx_app_quality_hitch_ios","","mean","0.125202","2,345,566","0.133049","4,145,638","-0.000700","[-0.00121, -0.000191]","-0.005593","[-0.9661%, -0.1525%]","0.007050","Significant","0.033639","-0.000176","-0.000031","0.124944","2,273,317","-0.000234","[-0.000846, +0.000379]","-0.001868","[-0.676%, +0.3025%]","0.454363","-","0.033639","-0.000044","-0.000008"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_hitch_ios","","mean","0.187747","2,087,361","0.194714","3,691,201","0.006341","[+0.005447, +0.007235]","0.033776","[+2.9014%, +3.8538%]","0.000000","Significant","0.016067","0.000681","0.000121","0.189668","1,995,140","0.001920","[+0.000881, +0.00296]","0.010227","[+0.469%, +1.5764%]","0.000295","Significant","0.016067","0.000171","0.000030"
