"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1  Value","treatment1  Exposure Volume","treatment1  Absolute Impact","treatment1  Absolute Impact Confidence Interval","treatment1  Relative Impact","treatment1  Relative Impact Confidence Interval","treatment1  P Value","treatment1  Significance","treatment1  Coverage","treatment1  Relative Global Lift","treatment1  Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_total_o2_gmv_3pc","Metric","N/A","","mean","0.391889","5,508,685","0.391876","5,676,380","-0.000569","[-0.004737, +0.003599]","-0.001452","[-1.2086%, +0.9183%]","0.789033","-","0.414865","-0.000602","-0.000356","0.395154","5,507,000","0.002544","[-0.001673, +0.00676]","0.006491","[-0.4268%, +1.725%]","0.237019","-","0.414865","0.002693","0.001591"
"dbd_total_o2_gmv_alc","Metric","N/A","","mean","0.095861","5,508,685","0.098351","5,676,380","0.002234","[-0.000512, +0.004981]","0.023306","[-0.5344%, +5.1956%]","0.110848","-","0.426261","0.009934","0.001397","0.097627","5,507,000","0.001711","[-0.001039, +0.004462]","0.017853","[-1.0837%, +4.6543%]","0.222600","-","0.426261","0.007610","0.001070"
"dbd_total_o2_gmv_flowers","Metric","N/A","","mean","0.001753","5,508,685","0.002015","5,676,380","0.000262","[-0.000144, +0.000667]","0.149251","[-8.2131%, +38.0633%]","0.206136","-","0.358285","0.053475","0.000164","0.002297","5,507,000","0.000544","[+0.000114, +0.000974]","0.310169","[+6.4913%, +55.5425%]","0.013186","Significant","0.358285","0.111129","0.000340"
"dbd_total_o2_gmv_grocery","Metric","N/A","","mean","0.267218","5,508,685","0.269296","5,676,380","0.003123","[-0.001648, +0.007893]","0.011686","[-0.6168%, +2.9539%]","0.199549","-","0.420109","0.004909","0.001953","0.268496","5,507,000","0.001658","[-0.0031, +0.006416]","0.006204","[-1.1602%, +2.4011%]","0.494668","-","0.420109","0.002607","0.001037"
"dbd_total_o2_gmv_nv","Metric","N/A","","mean","0.822909","5,508,685","0.826832","5,676,380","0.003927","[-0.003546, +0.011401]","0.004773","[-0.431%, +1.3855%]","0.303045","-","0.420741","0.002008","0.002456","0.828571","5,507,000","0.004998","[-0.002501, +0.012497]","0.006074","[-0.3039%, +1.5187%]","0.191458","-","0.420741","0.002555","0.003126"
"dbd_total_o2_gmv_pets","Metric","N/A","","mean","0.009426","5,508,685","0.009279","5,676,380","-0.000129","[-0.001099, +0.00084]","-0.013718","[-11.6554%, +8.9118%]","0.793747","-","0.434602","-0.005962","-0.000081","0.009344","5,507,000","-0.000099","[-0.001054, +0.000856]","-0.010536","[-11.1859%, +9.0786%]","0.838500","-","0.434602","-0.004579","-0.000062"
"dbd_total_o2_gmv_rx","Metric","N/A","","mean","1.337738","5,508,685","1.344699","5,676,380","0.008003","[-0.000429, +0.016435]","0.005983","[-0.0321%, +1.2286%]","0.062843","-","0.452840","0.002709","0.005006","1.339561","5,507,000","0.003494","[-0.004974, +0.011963]","0.002612","[-0.3718%, +0.8942%]","0.418671","-","0.452840","0.001183","0.002185"
"dbd_total_o2_orders_1pc","Metric","N/A","","mean","0.002492","5,508,685","0.002465","5,676,380","-0.000026","[-0.000092, +0.000041]","-0.010390","[-3.7085%, +1.6306%]","0.445581","-","0.472024","-0.004904","-0.000016","0.002441","5,507,000","-0.000052","[-0.000119, +0.000015]","-0.020761","[-4.7641%, +0.6119%]","0.130080","-","0.472024","-0.009800","-0.000032"
"dbd_total_o2_orders_3pc","Metric","N/A","","mean","0.024165","5,508,685","0.024218","5,676,380","0.000058","[-0.000164, +0.00028]","0.002417","[-0.677%, +1.1605%]","0.606058","-","0.427054","0.001032","0.000037","0.024357","5,507,000","0.000182","[-0.000043, +0.000407]","0.007528","[-0.1766%, +1.6823%]","0.112383","-","0.427054","0.003215","0.000114"
"dbd_total_o2_orders_alc","Metric","N/A","","mean","0.003379","5,508,685","0.003483","5,676,380","0.000105","[+0.000025, +0.000185]","0.031151","[+0.7462%, +5.4841%]","0.009958","Significant","0.417155","0.012995","0.000066","0.003448","5,507,000","0.000068","[-0.000012, +0.000149]","0.020229","[-0.3558%, +4.4017%]","0.095560","-","0.417155","0.008439","0.000043"
"dbd_total_o2_orders_flowers","Metric","N/A","","mean","0.000044","5,508,685","0.000048","5,676,380","0.000004","[-0.000004, +0.000012]","0.090988","[-9.1597%, +27.3573%]","0.328711","-","0.362474","0.032981","0.000003","0.000051","5,507,000","0.000007","[-0.000001, +0.000015]","0.159056","[-2.8841%, +34.6953%]","0.097091","-","0.362474","0.057654","0.000004"
"dbd_total_o2_orders_grocery","Metric","N/A","","mean","0.010007","5,508,685","0.010190","5,676,380","0.000189","[+0.000052, +0.000327]","0.018921","[+0.5158%, +3.2684%]","0.007048","Significant","0.421416","0.007974","0.000118","0.010114","5,507,000","0.000104","[-0.000034, +0.000243]","0.010433","[-0.342%, +2.4285%]","0.139905","-","0.421416","0.004397","0.000065"
"dbd_total_o2_orders_nv","Metric","N/A","","mean","0.040650","5,508,685","0.040975","5,676,380","0.000339","[+0.000044, +0.000633]","0.008327","[+0.1087%, +1.5568%]","0.024189","Significant","0.427350","0.003559","0.000212","0.040981","5,507,000","0.000306","[+0.000009, +0.000603]","0.007532","[+0.0231%, +1.4833%]","0.043175","Significant","0.427350","0.003219","0.000191"
"dbd_total_o2_orders_pets","Metric","N/A","","mean","0.000238","5,508,685","0.000234","5,676,380","-0.000004","[-0.000023, +0.000015]","-0.016394","[-9.5813%, +6.3024%]","0.685779","-","0.432646","-0.007093","-0.000002","0.000242","5,507,000","0.000004","[-0.000015, +0.000023]","0.016625","[-6.4227%, +9.7478%]","0.686938","-","0.432646","0.007193","0.000002"
"dbd_total_o2_orders_rx","Metric","N/A","","mean","0.069809","5,508,685","0.070129","5,676,380","0.000361","[-0.000036, +0.000758]","0.005172","[-0.0509%, +1.0854%]","0.074381","-","0.458675","0.002372","0.000226","0.069869","5,507,000","0.000063","[-0.000336, +0.000462]","0.000904","[-0.4815%, +0.6623%]","0.756745","-","0.458675","0.000415","0.000039"
"doubledash_active_user","Metric","N/A","","mean","0.079827","5,508,685","0.080177","5,676,380","0.000369","[+0.00006, +0.000679]","0.004627","[+0.0748%, +0.8507%]","0.019407","Significant","0.480965","0.002225","0.002223","0.079918","5,507,000","0.000094","[-0.000217, +0.000406]","0.001182","[-0.2723%, +0.5088%]","0.552967","-","0.480965","0.000569","0.000568"
"doubledash_l_28_d_mau","Metric","N/A","","mean","0.135299","5,508,685","0.135543","5,676,380","0.000103","[-0.000278, +0.000484]","0.000765","[-0.2052%, +0.3581%]","0.594684","-","0.403314","0.000308","0.000308","0.135212","5,507,000","-0.000180","[-0.000563, +0.000204]","-0.001327","[-0.4163%, +0.1509%]","0.359192","-","0.403314","-0.000535","-0.000535"
"doubledash_l_28_d_post_checkout_mau","Metric","N/A","","mean","0.110027","5,508,685","0.109412","5,676,380","-0.000679","[-0.00103, -0.000328]","-0.006170","[-0.9358%, -0.2982%]","0.000149","Significant","0.386855","-0.002387","-0.002023","0.109843","5,507,000","-0.000136","[-0.00049, +0.000217]","-0.001239","[-0.4454%, +0.1977%]","0.450234","-","0.386855","-0.000479","-0.000406"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","0.039257","5,508,685","0.040288","5,676,380","0.000919","[+0.000697, +0.00114]","0.023405","[+1.7767%, +2.9044%]","0.000000","Significant","0.451682","0.010572","0.002739","0.039348","5,507,000","-0.000072","[-0.000293, +0.00015]","-0.001822","[-0.7471%, +0.3826%]","0.527157","-","0.451682","-0.000823","-0.000213"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","0.062134","5,508,685","0.061459","5,676,380","-0.000660","[-0.000936, -0.000383]","-0.010616","[-1.5068%, -0.6164%]","0.000003","Significant","0.457096","-0.004853","-0.003971","0.061890","5,507,000","-0.000235","[-0.000514, +0.000044]","-0.003778","[-0.827%, +0.0715%]","0.099346","-","0.457096","-0.001727","-0.001413"
"doubledash_post_checkout_wau","Metric","N/A","","mean","0.037765","5,508,685","0.037272","5,676,380","-0.000473","[-0.000692, -0.000254]","-0.012529","[-1.8324%, -0.6734%]","0.000023","Significant","0.211672","-0.002652","-0.002196","0.037550","5,507,000","-0.000202","[-0.000423, +0.000019]","-0.005358","[-1.1206%, +0.049%]","0.072547","-","0.211672","-0.001134","-0.000939"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","0.022401","5,508,685","0.023481","5,676,380","0.001085","[+0.000913, +0.001257]","0.048438","[+4.0764%, +5.6111%]","0.000000","Significant","0.548267","0.026557","0.006532","0.022700","5,507,000","0.000295","[+0.000123, +0.000467]","0.013166","[+0.55%, +2.0832%]","0.000762","Significant","0.548267","0.007219","0.001775"
