"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","1200 Value","1200 Exposure Volume","600 Value","600 Exposure Volume","600 Absolute Impact","600 Absolute Impact Confidence Interval","600 Relative Impact","600 Relative Impact Confidence Interval","600 P Value","600 Significance","600 Coverage","600 Relative Global Lift","600 Absolute Global Lift","900 Value","900 Exposure Volume","900 Absolute Impact","900 Absolute Impact Confidence Interval","900 Relative Impact","900 Relative Impact Confidence Interval","900 P Value","900 Significance","900 Coverage","900 Relative Global Lift","900 Absolute Global Lift"
"doubledash_l_28_d_pre_checkout_mau","Metric","N/A","","mean","0.026991","14,250,410","0.026965","13,824,741","-0.000037","[-0.000153, +0.000079]","-0.001381","[-0.5686%, +0.2923%]","0.529328","-","0.547019","-0.000756","-0.000218","0.027023","13,824,745","0.000019","[-0.000097, +0.000136]","0.000719","[-0.3588%, +0.5026%]","0.743538","-","0.547019","0.000393","0.000113"
"doubledash_post_checkout_active_user","Metric","N/A","","mean","0.086585","14,250,410","0.086558","13,824,741","-0.000084","[-0.000287, +0.000118]","-0.000973","[-0.331%, +0.1363%]","0.414244","-","0.954685","-0.000929","-0.000765","0.086607","13,824,745","0.000003","[-0.000199, +0.000206]","0.000038","[-0.2299%, +0.2376%]","0.974446","-","0.954685","0.000036","0.000030"
"doubledash_post_checkout_wau","Metric","N/A","","mean","0.023137","14,250,410","0.023245","13,824,741","0.000106","[-0.000004, +0.000215]","0.004567","[-0.017%, +0.9304%]","0.058799","-","0.219573","0.001003","0.000830","0.023199","13,824,745","0.000062","[-0.000048, +0.000171]","0.002663","[-0.2072%, +0.7398%]","0.270308","-","0.219573","0.000585","0.000484"
"doubledash_pre_checkout_active_user","Metric","N/A","","mean","0.029875","14,250,410","0.029852","13,824,741","-0.000050","[-0.000173, +0.000072]","-0.001685","[-0.5782%, +0.2412%]","0.420238","-","0.988545","-0.001666","-0.000457","0.029920","13,824,745","0.000055","[-0.000067, +0.000178]","0.001845","[-0.2256%, +0.5946%]","0.377825","-","0.988545","0.001824","0.000500"
"doubledash_pre_checkout_wau","Metric","N/A","","mean","0.007790","14,250,410","0.007747","13,824,741","-0.000045","[-0.000109, +0.000019]","-0.005787","[-1.4005%, +0.243%]","0.167460","-","0.218679","-0.001266","-0.000354","0.007777","13,824,745","-0.000015","[-0.000079, +0.000049]","-0.001937","[-1.0163%, +0.6289%]","0.644411","-","0.218679","-0.000424","-0.000119"
"doubledash_wau","Metric","N/A","","mean","0.029840","14,250,410","0.029908","13,824,741","0.000065","[-0.000059, +0.000188]","0.002169","[-0.1962%, +0.6301%]","0.303363","-","0.234515","0.000509","0.000509","0.029898","13,824,745","0.000056","[-0.000068, +0.000179]","0.001860","[-0.2271%, +0.5991%]","0.377589","-","0.234515","0.000436","0.000436"
"dp_paid_pause_cancel","Metric","N/A","","mean","0.041663","4,890,950","0.041891","4,748,612","0.000229","[-0.00003, +0.000487]","0.005491","[-0.0714%, +1.1697%]","0.082840","-","0.390739","0.002146","0.000127","0.041648","4,746,583","-0.000016","[-0.000274, +0.000243]","-0.000379","[-0.658%, +0.5822%]","0.904701","-","0.390739","-0.000148","-0.000009"
"dsmp_perc_mx_trialers","Metric","N/A","","mean","0.230928","12,081,198","0.230811","11,723,287","-0.000092","[-0.000315, +0.000131]","-0.000398","[-0.1365%, +0.0569%]","0.419482","-","0.936077","-0.000357","-0.000086","0.230830","11,724,482","-0.000080","[-0.000304, +0.000143]","-0.000348","[-0.1315%, +0.0619%]","0.480441","-","0.936077","-0.000312","-0.000075"
"first_contact_resolution_rate","Metric","N/A","","mean","0.894825","246,151","0.895417","238,660","0.002327","[+0.000046, +0.004608]","0.002601","[+0.0052%, +0.5149%]","0.045521","Significant","0.243943","0.000654","0.000567","0.891597","238,979","-0.000799","[-0.003468, +0.001871]","-0.000892","[-0.3876%, +0.2091%]","0.557713","-","0.243943","-0.000226","-0.000195"
"gov_per_order_curie","Metric","N/A","","mean","37.276966","12,081,635","37.283438","11,723,766","0.010339","[-0.011866, +0.032544]","0.000277","[-0.0318%, +0.0873%]","0.361467","-","0.938406","0.000259","0.009702","37.262991","11,724,912","-0.012656","[-0.034133, +0.008822]","-0.000340","[-0.0916%, +0.0237%]","0.248121","-","0.938406","-0.000317","-0.011876"
