"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.008438","1,870,494","4.011142","1,816,636","0.001924","[-0.005774, +0.009622]","0.000480","[-0.144%, +0.24%]","0.624198","-","0.953024","0.000457","0.001834","4.013054","1,818,800","0.005252","[-0.002403, +0.012906]","0.001310","[-0.0599%, +0.322%]","0.178722","-","0.953024","0.001248","0.005005"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.725018","292,281","3.741494","285,430","0.016470","[-0.00248, +0.03542]","0.004422","[-0.0666%, +0.9509%]","0.088477","-","0.106513","0.000444","0.001756","3.739656","284,743","0.014636","[-0.002316, +0.031588]","0.003929","[-0.0622%, +0.848%]","0.090600","-","0.106513","0.000394","0.001559"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.981928","1,263,255","3.984624","1,227,573","0.002215","[-0.006601, +0.011032]","0.000556","[-0.1658%, +0.277%]","0.622427","-","0.834640","0.000468","0.001849","3.985830","1,228,367","0.004106","[-0.004766, +0.012978]","0.001031","[-0.1197%, +0.3259%]","0.364334","-","0.834640","0.000867","0.003428"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","3.908177","1,229,582","3.912854","1,195,844","0.003782","[-0.005363, +0.012927]","0.000968","[-0.1372%, +0.3308%]","0.417581","-","0.683702","0.000654","0.002586","3.914360","1,196,707","0.005853","[-0.0033, +0.015007]","0.001498","[-0.0844%, +0.384%]","0.210090","-","0.683702","0.001013","0.004004"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.071489","448,041","4.074244","435,308","0.002446","[-0.012036, +0.016927]","0.000601","[-0.2956%, +0.4157%]","0.740661","-","0.257591","0.000159","0.000630","4.074223","434,785","0.004931","[-0.009437, +0.019298]","0.001211","[-0.2318%, +0.474%]","0.501172","-","0.257591","0.000321","0.001269"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","3.738268","313,307","3.755723","304,033","0.016693","[+0.000036, +0.03335]","0.004465","[+0.001%, +0.8921%]","0.049506","Significant","0.208776","0.000883","0.003490","3.751219","304,708","0.010680","[-0.006229, +0.02759]","0.002857","[-0.1666%, +0.738%]","0.215734","-","0.208776","0.000564","0.002231"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","3.950237","44,280","3.956785","42,017","0.006041","[-0.043889, +0.055972]","0.001529","[-1.1111%, +1.4169%]","0.812549","-","0.025753","0.000040","0.000156","3.988789","41,968","0.039568","[-0.014727, +0.093863]","0.010017","[-0.3728%, +2.3761%]","0.153191","-","0.025753","0.000261","0.001033"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.017580","1,171,121","4.017288","1,140,510","-0.000467","[-0.009893, +0.00896]","-0.000116","[-0.2462%, +0.223%]","0.922688","-","0.702873","-0.000083","-0.000328","4.018874","1,140,204","0.002603","[-0.006747, +0.011952]","0.000648","[-0.1679%, +0.2975%]","0.585309","-","0.702873","0.000463","0.001830"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","18.692200","47,804","18.703983","46,609","0.013974","[-0.192753, +0.2207]","0.000748","[-1.0312%, +1.1807%]","0.894602","-","0.956344","0.000714","0.013373","18.817604","47,364","0.107036","[-0.101427, +0.315498]","0.005726","[-0.5426%, +1.6879%]","0.314246","-","0.956344","0.005466","0.102404"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","16.124993","525,153","16.119280","510,180","-0.009972","[-0.059987, +0.040043]","-0.000618","[-0.372%, +0.2483%]","0.695961","-","0.954479","-0.000590","-0.009517","16.129919","510,278","0.003629","[-0.046053, +0.05331]","0.000225","[-0.2856%, +0.3306%]","0.886173","-","0.954479","0.000215","0.003463"
