Metric Name,Desired Direction,Dimension Name,Dimension Value,Label,Variant Name,Metric Value,Metric Impact Relative,Metric Impact Relative Lower Bound,Metric Impact Relative Upper Bound,Metric Impact Relative Global Lift,Metric Impact Absolute,Metric Impact Absolute Lower Bound,Metric Impact Absolute Upper Bound,Metric Impact Absolute Global Lift,P Value,Metric Impact Relative Sequential Lower Bound,Metric Impact Relative Sequential Upper Bound,Metric Impact Absolute Sequential Lower Bound,Metric Impact Absolute Sequential Upper Bound,P Value Sequential,Participating Units,Analyzed At
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_RESIDENTIAL SMARTY_STREETS_RECORD_TYPE_POST_OFFICE_BOX,,control,0.0,,,,,,,,,,,,,,,3,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_RESIDENTIAL SMARTY_STREETS_RECORD_TYPE_POST_OFFICE_BOX,,treatment1,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_RESIDENTIAL SMARTY_STREETS_RECORD_TYPE_POST_OFFICE_BOX,,treatment3,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_RESIDENTIAL SMARTY_STREETS_RECORD_TYPE_STREET,,treatment3,0.0026787,0.00521986,-0.01637289,0.0268126,0.00225818,0.00001391,-0.00004363,0.00007145,8.91e-6,0.63563953,-0.02873855,0.03917827,-0.00007658,0.0001044,1.0,2768505,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_RESIDENTIAL SMARTY_STREETS_RECORD_TYPE_STREET,,treatment1,0.00269413,0.01100159,-0.01068394,0.03268712,0.00476061,0.00002932,-0.00002847,0.00008711,0.00001879,0.32005886,-0.02310274,0.04510592,-0.00006156,0.0001202,1.0,2768656,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_RESIDENTIAL SMARTY_STREETS_RECORD_TYPE_STREET,,control,0.00266483,,,,,,,,,,,,,,,2854462,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_HIGH_RISE,,treatment1,0.0082352,2.09456767,-0.54863316,4.73776849,0.0,0.00562318,-0.00147289,0.01271924,0.0,0.12038822,-2.0623331,6.25146843,-0.00553664,0.01678299,0.85198511,393,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_HIGH_RISE,,treatment3,0.0050189,0.75472938,-1.52457125,3.03403,0.0,0.00202618,-0.00409294,0.0081453,0.0,0.5163451,-2.82987396,4.33933271,-0.00759722,0.01164958,1.0,349,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_HIGH_RISE,,control,0.00268465,,,,,,,,,,,,,,,375,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_STREET,,treatment1,0.00171097,-0.37472977,-0.91842306,0.16896352,0.0,-0.0010334,-0.00253275,0.00046595,0.0,0.17673832,-1.22978363,0.48032408,-0.0033914,0.0013246,1.0,3718,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_STREET,,treatment3,0.00396762,0.4428402,-0.28460309,1.17028349,0.0,0.00122123,-0.00078485,0.00322731,0.0,0.23280962,-0.70119302,1.58687343,-0.00193369,0.00437615,1.0,3702,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_STREET,,control,0.00275772,,,,,,,,,,,,,,,3778,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_UNSPECIFIED,,treatment3,0.00404261,0.01381538,-0.02788737,0.05551813,0.00175213,0.00005509,-0.00011119,0.00022137,6.92e-6,0.51614366,-0.05176957,0.07940033,-0.00020642,0.00031659,1.0,633792,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_UNSPECIFIED,,control,0.00398726,,,,,,,,,,,,,,,653376,2025-03-14 13:41:48
core_quality_nd,decrease,ADDRESS_TYPE,ADDRESS_TYPE_SMARTY_STREETS_RDI_UNSPECIFIED SMARTY_STREETS_RECORD_TYPE_UNSPECIFIED,,treatment1,0.00397817,-0.00236453,-0.04354711,0.03881806,-0.00030068,-9.43e-6,-0.00017363,0.00015478,-1.19e-6,0.91040105,-0.06713143,0.06240237,-0.00026767,0.00024881,1.0,632548,2025-03-14 13:41:48
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_Contactless,,treatment3,0.00333249,0.00883719,-0.0091423,0.02681669,0.0051414,0.00002919,-0.0000302,0.00008858,0.0000203,0.33537106,-0.01943874,0.03711313,-0.00006421,0.0001226,1.0,3284948,2025-03-14 13:41:37
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_Contactless,,treatment1,0.00333441,0.00940068,-0.00863575,0.02743712,0.00547059,0.00003105,-0.00002853,0.00009063,0.0000216,0.30699697,-0.0189648,0.03776617,-0.00006265,0.00012475,1.0,3285674,2025-03-14 13:41:37
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_Contactless,,control,0.00330331,,,,,,,,,,,,,,,3386746,2025-03-14 13:41:37
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_HITM,,treatment3,0.00542043,0.00952143,-0.01387185,0.0329147,0.00355093,0.00005112,-0.00007448,0.00017673,0.00001402,0.42502378,-0.02726863,0.04631149,-0.00014642,0.00024866,1.0,1632161,2025-03-14 13:41:37
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_HITM,,control,0.0053694,,,,,,,,,,,,,,,1680396,2025-03-14 13:41:37
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_HITM,,treatment1,0.00526965,-0.01853812,-0.04173742,0.00466119,-0.00691481,-0.00009954,-0.0002241,0.00002503,-0.0000273,0.11730896,-0.05502312,0.01794689,-0.00029544,0.00009636,0.83825267,1630367,2025-03-14 13:41:37
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_NULL,,treatment3,0.00409314,0.00835853,-0.01750402,0.03422109,0.00227473,0.00003393,-0.00007105,0.00013891,8.98e-6,0.52644521,-0.03231491,0.04903198,-0.00013117,0.00019903,1.0,1954859,2025-03-14 13:41:37
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_NULL,,control,0.00405921,,,,,,,,,,,,,,,2016178,2025-03-14 13:41:37
core_quality_nd,decrease,DROPOFF_PREFERENCE,DROPOFF_PREFERENCE_NULL,,treatment1,0.00405057,-0.00212886,-0.0278975,0.02363978,-0.00057986,-8.64e-6,-0.00011324,0.00009596,-2.29e-6,0.87136804,-0.0426546,0.03839689,-0.00017314,0.00015586,1.0,1955504,2025-03-14 13:41:37
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment3,0.002707,0.00445228,-0.02218939,0.03109395,,0.000012,-0.0000598,0.0000838,,0.74325685,-0.03744646,0.04635101,-0.00010092,0.00012492,1.0,3954728,2025-03-14 13:43:10
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,treatment1,0.002684,-0.00408341,-0.03067076,0.02250393,,-0.000011,-0.00008266,0.00006065,,0.76339867,-0.04589671,0.03772989,-0.00012369,0.00010168,1.0,3952694,2025-03-14 13:43:10
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Active,,control,0.002695,,,,,,,,,,,,,,,4077376,2025-03-14 13:43:10
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,control,0.009162,,,,,,,,,,,,,,,373939,2025-03-14 13:42:51
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment3,0.009021,-0.0153361,-0.06261412,0.03194193,,-0.00014051,-0.00057367,0.00029265,,0.52492292,-0.08968915,0.05901695,-0.00082173,0.00054071,1.0,363385,2025-03-14 13:42:51
account_or_system_push_opt_out,decrease,cx_lifestage,account_or_system_push_opt_out_cx_lifestage_Churned,,treatment1,0.008779,-0.04165829,-0.08861861,0.00530202,,-0.00038167,-0.00081192,0.00004858,,0.08209184,-0.1155117,0.03219511,-0.00105832,0.00029497,0.66732495,363369,2025-03-14 13:42:51
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,treatment3,0.02624253,-0.10320306,-0.16830595,-0.03810016,-0.0015051,-0.0030203,-0.00492557,-0.00111502,-6.02e-6,0.00189001,-0.20558887,-0.00081724,-0.00601668,-0.00002392,0.04704529,137471,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,control,0.02926557,,,,,,,,,,,,,,,141343,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,treatment1,0.01027002,-0.02815662,-0.1011539,0.04484067,0.0,-0.00029751,-0.00106882,0.0004738,0.0,0.44964918,-0.14295776,0.08664453,-0.00151054,0.00091551,1.0,117179,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,treatment3,0.01072253,0.01464993,-0.05937096,0.08867083,0.0,0.0001548,-0.00062733,0.00093692,0.0,0.69808373,-0.10176102,0.13106088,-0.00107524,0.00138483,1.0,117668,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,control,0.01056631,,,,,,,,,,,,,,,120937,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_payment_method,guardrail,treatment1,0.02751487,-0.05983641,-0.12703923,0.0073664,-0.00087698,-0.00175115,-0.00371788,0.00021558,-3.51e-6,0.08096337,-0.16552472,0.0458519,-0.00484418,0.00134188,0.66135569,137076,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,treatment1,0.01059025,0.00201923,-0.00510404,0.0091425,0.00064987,0.00002134,-0.00005395,0.00009664,5.94e-6,0.57849098,-0.00918337,0.01322183,-0.00009707,0.00013976,1.0,2950739,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,treatment3,0.00304369,-0.02107633,-0.03680242,-0.00535024,-0.00457954,-0.00006553,-0.00011443,-0.00001664,-0.00001832,0.00861993,-0.04580838,0.00365573,-0.00014243,0.00001137,0.14152881,2952968,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,control,0.00310933,,,,,,,,,,,,,,,3044063,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,treatment1,0.00306574,-0.01393692,-0.02974508,0.00187124,-0.00302694,-0.00004333,-0.00009249,5.82e-6,-0.00001211,0.08399541,-0.03879804,0.0109242,-0.00012064,0.00003397,0.67731473,2953671,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,control,0.01057023,,,,,,,,,,,,,,,3040917,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_add_to_cart,guardrail,treatment3,0.01059026,0.00185343,-0.00528802,0.00899488,0.00059678,0.00001959,-0.0000559,0.00009508,5.46e-6,0.61098163,-0.00937776,0.01308463,-0.00009913,0.00013831,1.0,2949988,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_create_address,guardrail,treatment1,0.00490039,-0.00589916,-0.09136576,0.07956743,0.0,-0.00002908,-0.00045039,0.00039223,0.0,0.89238837,-0.1403105,0.12851217,-0.00069166,0.0006335,1.0,310951,2025-03-14 13:41:25
cx_app_quality_action_load_latency_ios,decrease,action_dimension,action_dimension_cx_create_address,guardrail,treatment3,0.01910792,-0.01359056,-0.04661632,0.01943519,-0.00010963,-0.00026326,-0.00090299,0.00037647,-1e-6,0.41992425,-0.0655294,0.03834828,-0.00126936,0.00074284,1.0,313302,2025-03-14 13:41:25
cx_app_quality_page_action_error_ios,decrease,action_dimension,action_dimension_cx_create_address,guardrail,treatment3,0.00518401,0.05159536,-0.03361551,0.13680624,0.0,0.00025434,-0.00016571,0.00067438,0.0,0.23532141,-0.08241381,0.18560454,-0.00040626,0.00091494,1.0,310933,2025-03-14 13:41:25
