"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment Value","treatment Exposure Volume","treatment Absolute Impact","treatment Absolute Impact Confidence Interval","treatment Relative Impact","treatment Relative Impact Confidence Interval","treatment P Value","treatment Significance","treatment Coverage","treatment Relative Global Lift","treatment Absolute Global Lift"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.131930","1,537,370","0.131859","1,540,258","-0.000062","[-0.000455, +0.000331]","-0.000468","[-0.3449%, +0.2512%]","0.758179","-","0.099824","-0.000203","-0.000006"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.151045","1,537,370","0.151078","1,540,258","0.000034","[-0.000438, +0.000506]","0.000226","[-0.2898%, +0.3349%]","0.887450","-","0.099824","0.000082","0.000003"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.019115","1,537,370","0.019219","1,540,258","0.000098","[-0.000127, +0.000323]","0.005121","[-0.666%, +1.6903%]","0.394225","-","0.099824","0.000896","0.000010"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.032834","1,115,566","0.033106","1,117,462","0.000271","[-0.000088, +0.000631]","0.008267","[-0.2689%, +1.9222%]","0.139177","-","0.364223","0.002580","0.000099"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.042227","3,653","0.035674","3,583","-0.006466","[-0.012837, -0.000095]","-0.153130","[-30.4005%, -0.2254%]","0.046674","Significant","0.001342","-0.000230","-0.000009"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.032088","5,186","0.035539","5,329","0.003353","[-0.001978, +0.008684]","0.104502","[-6.1633%, +27.0637%]","0.217630","-","0.001623","0.000142","0.000005"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.032798","1,114,280","0.033082","1,116,176","0.000283","[-0.000078, +0.000644]","0.008626","[-0.2379%, +1.9631%]","0.124489","-","0.361096","0.002666","0.000102"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.026624","211,264","0.026802","212,081","0.000178","[-0.00079, +0.001147]","0.006698","[-2.9687%, +4.3083%]","0.718250","-","0.036595","0.000170","0.000007"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.033527","930,475","0.033810","931,565","0.000282","[-0.000103, +0.000666]","0.008398","[-0.3077%, +1.9873%]","0.151477","-","0.327583","0.002408","0.000092"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.031835","1,094,929","0.031961","1,096,516","0.000126","[-0.000247, +0.000498]","0.003943","[-0.777%, +1.5656%]","0.509422","-","0.318019","0.001042","0.000040"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.039718","132,588","0.040947","133,390","0.001225","[+0.000086, +0.002364]","0.030839","[+0.2166%, +5.9512%]","0.035031","Significant","0.046248","0.001481","0.000057"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.024434","1,136,241","0.024619","1,138,451","0.000186","[-0.000118, +0.00049]","0.007602","[-0.4845%, +2.0049%]","0.231268","-","0.364395","0.002819","0.000068"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.024797","1,116,323","0.025005","1,118,201","0.000210","[-0.000113, +0.000532]","0.008453","[-0.4557%, +2.1463%]","0.202861","-","0.318289","0.002778","0.000067"
