"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_order_frequency_14d","Metric","N/A","","mean","1.165234","7,329","1.162442","7,141","-0.004268","[-0.023953, +0.015418]","-0.003662","[-2.0556%, +1.3232%]","0.670911","-","0.003930","-0.000014","-0.000023","1.163564","7,037","0.002037","[-0.017236, +0.02131]","0.001748","[-1.4792%, +1.8288%]","0.835899","-","0.003930","0.000007","0.000011"
"dbd_order_frequency_28d","Metric","N/A","","mean","1.190836","7,944","1.184278","7,760","-0.006804","[-0.027389, +0.01378]","-0.005714","[-2.2999%, +1.1572%]","0.517056","-","0.004358","-0.000025","-0.000041","1.189802","7,629","0.003807","[-0.016973, +0.024588]","0.003197","[-1.4253%, +2.0647%]","0.719523","-","0.004358","0.000014","0.000023"
"dbd_order_frequency_7d","Metric","N/A","","mean","1.097983","5,950","1.099758","5,774","0.000282","[-0.014615, +0.015179]","0.000257","[-1.3311%, +1.3824%]","0.970406","-","0.002997","0.000001","0.000001","1.102853","5,678","0.007101","[-0.00852, +0.022723]","0.006468","[-0.776%, +2.0695%]","0.372948","-","0.002997","0.000019","0.000032"
"dbd_order_rate","Metric","N/A","","mean","0.036699","275,156","0.036628","267,526","-0.000111","[-0.001352, +0.00113]","-0.003024","[-3.6851%, +3.0803%]","0.860925","-","0.004656","-0.000014","-0.000023","0.036344","266,262","-0.000193","[-0.001437, +0.001051]","-0.005252","[-3.9156%, +2.8652%]","0.761424","-","0.004656","-0.000024","-0.000040"
"dbd_order_rate_14d","Metric","N/A","","mean","0.031037","275,156","0.031029","267,526","-0.000043","[-0.001163, +0.001078]","-0.001372","[-3.7476%, +3.4732%]","0.940634","-","0.003937","-0.000005","-0.000009","0.030752","266,262","-0.000145","[-0.00126, +0.000971]","-0.004660","[-4.0593%, +3.1274%]","0.799378","-","0.003937","-0.000018","-0.000030"
"dbd_order_rate_28d","Metric","N/A","","mean","0.034380","275,156","0.034352","267,526","-0.000067","[-0.001275, +0.001141]","-0.001947","[-3.7077%, +3.3184%]","0.913517","-","0.004362","-0.000008","-0.000014","0.034090","266,262","-0.000132","[-0.001343, +0.001079]","-0.003839","[-3.9071%, +3.1393%]","0.830896","-","0.004362","-0.000017","-0.000027"
"dbd_order_rate_7d","Metric","N/A","","mean","0.023743","275,156","0.023736","267,526","-0.000030","[-0.000934, +0.000874]","-0.001245","[-3.9321%, +3.6831%]","0.948912","-","0.003012","-0.000004","-0.000006","0.023518","266,262","-0.000133","[-0.001043, +0.000776]","-0.005620","[-4.3926%, +3.2686%]","0.773691","-","0.003012","-0.000017","-0.000028"
"dbd_post_checkout_browsed_carousels_fyp","Metric","N/A","","mean","0.543495","50,732","0.540361","48,847","-0.004944","[-0.017203, +0.007314]","-0.009097","[-3.1653%, +1.3458%]","0.429234","-","","","","0.534217","48,659","-0.008868","[-0.021081, +0.003345]","-0.016317","[-3.8788%, +0.6154%]","0.154675","-","","",""
"dbd_post_checkout_browsed_items_fyp","Metric","N/A","","mean","1.263764","50,732","1.256603","48,847","-0.010740","[-0.042568, +0.021088]","-0.008499","[-3.3684%, +1.6686%]","0.508367","-","","","","1.242266","48,659","-0.020509","[-0.052398, +0.011381]","-0.016228","[-4.1462%, +0.9005%]","0.207493","-","","",""
"dbd_post_checkout_browsed_stores","Metric","N/A","","mean","1.040212","50,732","1.037059","48,847","-0.007624","[-0.026982, +0.011735]","-0.007329","[-2.5939%, +1.1281%]","0.440189","-","","","","1.036942","48,659","-0.001609","[-0.021226, +0.018008]","-0.001547","[-2.0405%, +1.7312%]","0.872277","-","","",""
"dbd_post_checkout_browsed_stores_fyp","Metric","N/A","","mean","0.538349","50,732","0.534904","48,847","-0.005230","[-0.017297, +0.006837]","-0.009715","[-3.213%, +1.27%]","0.395605","-","","","","0.528481","48,659","-0.009467","[-0.021482, +0.002548]","-0.017586","[-3.9904%, +0.4732%]","0.122500","-","","",""
"dbd_post_checkout_browsed_stores_nav_bar","Metric","N/A","","mean","0.802595","50,732","0.802156","48,847","-0.002093","[-0.019114, +0.014928]","-0.002608","[-2.3816%, +1.86%]","0.809544","-","","","","0.806965","48,659","0.004423","[-0.013046, +0.021891]","0.005510","[-1.6254%, +2.7275%]","0.619732","-","","",""
