"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.911632","8,733","0.912220","8,706","0.000566","[-0.005988, +0.007119]","0.000621","[-0.6568%, +0.7809%]","0.865627","-","0.005394","0.000003","0.000003","0.910992","8,315","-0.000893","[-0.007602, +0.005817]","-0.000979","[-0.8339%, +0.6381%]","0.794289","-","0.005394","-0.000005","-0.000005"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.906512","2,686","0.900723","2,836","-0.005841","[-0.021363, +0.009681]","-0.006444","[-2.3566%, +1.0679%]","0.460784","-","0.000957","-0.000006","-0.000006","0.909443","2,723","0.002930","[-0.012436, +0.018296]","0.003232","[-1.3719%, +2.0183%]","0.708629","-","0.000957","0.000003","0.000003"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.922343","22,904","0.922959","23,880","0.000672","[-0.002851, +0.004196]","0.000729","[-0.3091%, +0.4549%]","0.708483","-","0.017202","0.000013","0.000012","0.919772","22,442","-0.002612","[-0.006264, +0.00104]","-0.002832","[-0.6791%, +0.1128%]","0.161018","-","0.017202","-0.000049","-0.000045"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.015141","24,766","0.014691","25,887","-0.000468","[-0.002013, +0.001078]","-0.030898","[-13.2981%, +7.1185%]","0.553026","-","0.018217","-0.000574","-0.000009","0.015540","24,437","0.000415","[-0.001182, +0.002011]","0.027384","[-7.8049%, +13.2818%]","0.610708","-","0.018217","0.000489","0.000008"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.015244","21,135","0.014952","22,211","-0.000302","[-0.002039, +0.001435]","-0.019836","[-13.3777%, +9.4105%]","0.732939","-","0.014274","-0.000290","-0.000004","0.015760","21,020","0.000517","[-0.001262, +0.002297]","0.033920","[-8.2808%, +15.0649%]","0.568983","-","0.014274","0.000479","0.000007"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.014774","6,056","0.013761","6,266","-0.001010","[-0.004275, +0.002254]","-0.068384","[-28.9341%, +15.2573%]","0.544124","-","0.003956","-0.000271","-0.000004","0.014724","5,811","0.000089","[-0.003346, +0.003523]","0.005997","[-22.644%, +23.8433%]","0.959671","-","0.003956","0.000000","0.000000"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.013673","2,589","0.018997","2,746","0.005324","[-0.001558, +0.012206]","0.389390","[-11.3935%, +89.2715%]","0.129445","-","0.000943","0.000325","0.000005","0.013884","2,645","0.000211","[-0.006118, +0.006541]","0.015464","[-44.7463%, +47.8391%]","0.947797","-","0.000943","0.000000","0.000000"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.015220","22,563","0.014466","23,518","-0.000780","[-0.002366, +0.000806]","-0.051235","[-15.5429%, +5.2959%]","0.335163","-","0.017244","-0.000910","-0.000014","0.015634","22,150","0.000425","[-0.001223, +0.002072]","0.027893","[-8.038%, +13.6165%]","0.613618","-","0.017244","0.000475","0.000007"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.016585","3,775","0.014125","3,842","-0.002438","[-0.006596, +0.00172]","-0.146992","[-39.77%, +10.3716%]","0.250497","-","0.002555","-0.000409","-0.000006","0.016518","3,671","-0.000201","[-0.004561, +0.004159]","-0.012108","[-27.5009%, +25.0793%]","0.928073","-","0.002555","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.013702","13,384","0.012520","14,597","-0.001183","[-0.00324, +0.000873]","-0.086347","[-23.6436%, +6.3742%]","0.259499","-","0.009068","-0.000717","-0.000011","0.014103","13,631","0.000403","[-0.001775, +0.00258]","0.029404","[-12.9512%, +18.832%]","0.716869","-","0.009068","0.000233","0.000004"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.016424","8,555","0.017860","8,543","0.001378","[-0.001597, +0.004352]","0.083878","[-9.721%, +26.4967%]","0.363965","-","0.005392","0.000501","0.000008","0.017435","8,180","0.001037","[-0.001908, +0.003983]","0.063156","[-11.6191%, +24.2502%]","0.490075","-","0.005392","0.000366","0.000006"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.003637","24,752","0.003848","25,878","0.000209","[-0.000523, +0.000942]","0.057584","[-14.3724%, +25.8892%]","0.575042","-","0.018221","0.001081","0.000004","0.003479","24,431","-0.000157","[-0.000893, +0.000578]","-0.043282","[-24.5461%, +15.8897%]","0.674789","-","0.018221","-0.000781","-0.000003"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.003128","3,774","0.003566","3,842","0.000440","[-0.001399, +0.00228]","0.140798","[-44.7329%, +72.8925%]","0.638915","-","0.002556","0.000311","0.000001","0.003333","3,671","0.000192","[-0.001644, +0.002027]","0.061301","[-52.5426%, +64.8029%]","0.837747","-","0.002556","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.003507","13,376","0.004151","14,593","0.000644","[-0.000409, +0.001696]","0.183537","[-11.6537%, +48.3611%]","0.230609","-","0.009070","0.001640","0.000006","0.003021","13,627","-0.000486","[-0.001483, +0.00051]","-0.138697","[-42.2805%, +14.5412%]","0.338658","-","0.009070","-0.001185","-0.000004"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.004013","8,550","0.003562","8,539","-0.000442","[-0.001782, +0.000898]","-0.110074","[-44.4021%, +22.3873%]","0.518258","-","0.005393","-0.000675","-0.000002","0.004096","8,177","0.000079","[-0.00136, +0.001518]","0.019653","[-33.892%, +37.8226%]","0.914454","-","0.005393","0.000000","0.000000"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.003795","21,121","0.003899","22,202","0.000099","[-0.000741, +0.00094]","0.026212","[-19.5272%, +24.7695%]","0.816575","-","0.014275","0.000401","0.000001","0.003418","21,013","-0.000376","[-0.001211, +0.000458]","-0.099193","[-31.9074%, +12.0689%]","0.376600","-","0.014275","-0.001465","-0.000005"
