"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.020115","56,167","0.020699","72,752","0.000335","[-0.000839, +0.001509]","0.016646","[-4.1735%, +7.5027%]","0.576267","-","0.028914","0.000409","0.000010","0.020798","70,339","0.000472","[-0.000721, +0.001664]","0.023445","[-3.5836%, +8.2725%]","0.438255","-","0.028914","0.000572","0.000014"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.035997","39,169","0.034765","40,794","-0.001232","[-0.003775, +0.001311]","-0.034228","[-10.4866%, +3.641%]","0.342260","-","0.009214","-0.000483","-0.000011","0.035868","40,190","-0.000129","[-0.002708, +0.002451]","-0.003573","[-7.5224%, +6.8077%]","0.922131","-","0.009214","-0.000050","-0.000001"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.022387","190,942","0.022018","190,946","-0.000388","[-0.000996, +0.000221]","-0.017310","[-4.4486%, +0.9866%]","0.211872","-","0.112772","-0.001869","-0.000044","0.022429","189,485","0.000010","[-0.000608, +0.000629]","0.000468","[-2.7176%, +2.8112%]","0.973524","-","0.112772","0.000050","0.000001"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.023330","214,558","0.022897","215,880","-0.000467","[-0.001077, +0.000142]","-0.020030","[-4.6156%, +0.6096%]","0.132927","-","0.115939","-0.002314","-0.000055","0.023370","213,935","-0.000002","[-0.000623, +0.000618]","-0.000103","[-2.6688%, +2.6482%]","0.993942","-","0.115939","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.022258","4,355","0.022161","4,348","-0.000115","[-0.004805, +0.004576]","-0.005145","[-21.5868%, +20.5578%]","0.961833","-","0.001828","0.000000","0.000000","0.022486","4,271","0.000023","[-0.004649, +0.004696]","0.001044","[-20.8892%, +21.0981%]","0.992221","-","0.001828","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.025332","8,591","0.026086","8,293","0.000813","[-0.002479, +0.004104]","0.032077","[-9.7865%, +16.202%]","0.628504","-","0.004253","0.000147","0.000003","0.026105","8,322","0.000778","[-0.002548, +0.004103]","0.030701","[-10.0568%, +16.1969%]","0.646672","-","0.004253","0.000138","0.000003"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","3.939765","274,077","3.940370","272,969","0.005657","[-0.013768, +0.025082]","0.001436","[-0.3495%, +0.6366%]","0.568129","-","0.127438","0.000175","0.000727","3.938213","271,540","0.007190","[-0.012512, +0.026892]","0.001825","[-0.3176%, +0.6826%]","0.474448","-","0.127438","0.000221","0.000918"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.753384","39,171","3.713122","40,795","-0.040241","[-0.079046, -0.001435]","-0.010721","[-2.106%, -0.0382%]","0.042110","Significant","0.009214","-0.000089","-0.000372","3.707169","40,189","-0.046270","[-0.085804, -0.006737]","-0.012328","[-2.286%, -0.1795%]","0.021794","Significant","0.009214","-0.000102","-0.000428"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.027089","190,948","4.016387","190,948","-0.006508","[-0.028797, +0.015781]","-0.001616","[-0.7151%, +0.3919%]","0.567130","-","0.112766","-0.000177","-0.000741","4.017306","189,485","-0.002338","[-0.024251, +0.019575]","-0.000581","[-0.6022%, +0.4861%]","0.834365","-","0.112766","-0.000063","-0.000264"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","3.998845","214,566","3.983442","215,883","-0.010495","[-0.031792, +0.010802]","-0.002625","[-0.795%, +0.2701%]","0.334125","-","0.115933","-0.000293","-0.001227","3.983276","213,934","-0.007972","[-0.0289, +0.012955]","-0.001994","[-0.7227%, +0.324%]","0.455274","-","0.115933","-0.000221","-0.000927"
