"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","1200 Value","1200 Exposure Volume","600 Value","600 Exposure Volume","600 Absolute Impact","600 Absolute Impact Confidence Interval","600 Relative Impact","600 Relative Impact Confidence Interval","600 P Value","600 Significance","600 Coverage","600 Relative Global Lift","600 Absolute Global Lift","900 Value","900 Exposure Volume","900 Absolute Impact","900 Absolute Impact Confidence Interval","900 Relative Impact","900 Relative Impact Confidence Interval","900 P Value","900 Significance","900 Coverage","900 Relative Global Lift","900 Absolute Global Lift"
"account_or_system_push_opt_out","Metric","N/A","","mean","0.007575","14,250,410","0.007570","13,824,741","-0.000005","[-0.000069, +0.000059]","-0.000656","[-0.9123%, +0.7811%]","0.879310","-","","","","0.007569","13,824,745","-0.000006","[-0.00007, +0.000058]","-0.000790","[-0.9257%, +0.7677%]","0.854880","-","","",""
"active_share_7d","Metric","N/A","","mean","0.817829","13,112,877","0.818086","12,719,739","0.000204","[-0.000083, +0.000492]","0.000250","[-0.0102%, +0.0602%]","0.163935","-","","","","0.818143","12,719,309","0.000253","[-0.000035, +0.00054]","0.000309","[-0.0043%, +0.0661%]","0.085418","-","","",""
"ads_promotion_promotion_cx_discount","Metric","N/A","","mean","5.634419","14,104,692","5.631568","13,683,992","0.001230","[-0.009103, +0.011563]","0.000218","[-0.1616%, +0.2052%]","0.815561","-","0.939623","0.000205","0.000755","5.626368","13,683,367","-0.006076","[-0.014479, +0.002327]","-0.001078","[-0.257%, +0.0413%]","0.156447","-","0.939623","-0.001013","-0.003730"
"ads_revenue","Metric","N/A","","mean","2.328629","14,250,410","2.332379","13,824,741","0.003176","[-0.000491, +0.006843]","0.001364","[-0.0211%, +0.2939%]","0.089598","-","0.836825","0.001141","0.001783","2.330501","13,824,745","0.000445","[-0.003211, +0.004101]","0.000191","[-0.1379%, +0.1761%]","0.811472","-","0.836825","0.000160","0.000250"
"ad_product_NULL","Dimension","ads_revenue","","mean","0.088736","14,250,410","0.088880","13,824,741","0.000118","[-0.000008, +0.000245]","0.001333","[-0.0094%, +0.2759%]","0.067079","-","0.031670","0.000042","0.000066","0.088821","13,824,745","0.000091","[-0.000036, +0.000217]","0.001020","[-0.0406%, +0.2447%]","0.160875","-","0.031670","0.000032","0.000050"
"ad_product_pm","Dimension","ads_revenue","","mean","0.346489","14,250,410","0.346384","13,824,741","-0.000099","[-0.000764, +0.000565]","-0.000287","[-0.2205%, +0.1631%]","0.769404","-","0.123663","-0.000035","-0.000055","0.346560","13,824,745","0.000064","[-0.000601, +0.00073]","0.000186","[-0.1734%, +0.2105%]","0.849608","-","0.123663","0.000023","0.000036"
"ad_product_sb","Dimension","ads_revenue","","mean","0.025108","14,250,410","0.025301","13,824,741","0.000101","[-0.000071, +0.000273]","0.004014","[-0.2829%, +1.0858%]","0.250245","-","0.008961","0.000036","0.000056","0.025124","13,824,745","0.000050","[-0.00012, +0.00022]","0.001991","[-0.4797%, +0.8778%]","0.565355","-","0.008961","0.000018","0.000028"
"ad_product_sl","Dimension","ads_revenue","","mean","1.703607","14,250,410","1.706151","13,824,741","0.002766","[-0.000461, +0.005992]","0.001623","[-0.0271%, +0.3517%]","0.092986","-","0.608024","0.000987","0.001535","1.705253","13,824,745","0.001747","[-0.001478, +0.004972]","0.001025","[-0.0867%, +0.2918%]","0.288316","-","0.608024","0.000624","0.000970"
"ad_product_sp","Dimension","ads_revenue","","mean","0.182252","14,250,410","0.183293","13,824,741","0.000987","[+0.000058, +0.001917]","0.005417","[+0.0317%, +1.0517%]","0.037353","Significant","0.065046","0.000352","0.000548","0.182426","13,824,745","0.000195","[-0.00069, +0.001081]","0.001072","[-0.3787%, +0.5932%]","0.665393","-","0.065046","0.000070","0.000108"
"avg_dat_mins","Metric","N/A","","mean","1206.762123","11,706,351","1206.946634","11,360,940","0.207158","[-0.175361, +0.589676]","0.000172","[-0.0145%, +0.0489%]","0.288489","-","0.835532","0.000144","0.173108","1206.699775","11,361,521","-0.070271","[-0.452586, +0.312044]","-0.000058","[-0.0375%, +0.0259%]","0.718660","-","0.835532","-0.000049","-0.058715"
"chex_ct_cancel_order","Metric","N/A","","mean","0.020640","11,557,523","0.020664","11,216,001","0.000022","[-0.000046, +0.000091]","0.001077","[-0.2231%, +0.4385%]","0.523430","-","","","","0.020632","11,215,347","-0.000009","[-0.000077, +0.000059]","-0.000435","[-0.374%, +0.287%]","0.796443","-","","",""
"chex_ct_cart_page_conversion","Metric","N/A","","mean","0.826767","13,927,136","0.826803","13,512,929","-0.000017","[-0.000206, +0.000172]","-0.000020","[-0.0249%, +0.0208%]","0.860730","-","","","","0.826782","13,512,879","0.000003","[-0.000186, +0.000192]","0.000004","[-0.0224%, +0.0232%]","0.973287","-","","",""
"chex_ct_cart_page_conversion_deliveries","Metric","N/A","","mean","0.812838","13,927,136","0.812915","13,512,929","0.000023","[-0.000173, +0.000219]","0.000028","[-0.0213%, +0.027%]","0.817191","-","","","","0.812890","13,512,879","0.000029","[-0.000168, +0.000225]","0.000035","[-0.0206%, +0.0277%]","0.774729","-","","",""
"chex_ct_checkout_page_load","Metric","N/A","","mean","0.915682","13,927,136","0.915729","13,512,929","0.000010","[-0.000121, +0.00014]","0.000010","[-0.0132%, +0.0153%]","0.886684","-","","","","0.915719","13,512,879","-0.000011","[-0.000142, +0.00012]","-0.000012","[-0.0155%, +0.0131%]","0.868730","-","","",""
"chex_ct_place_order","Metric","N/A","","mean","0.864147","13,248,882","0.864308","12,854,454","0.000076","[-0.000127, +0.00028]","0.000088","[-0.0147%, +0.0324%]","0.461961","-","","","","0.864170","12,854,496","0.000067","[-0.000137, +0.00027]","0.000077","[-0.0158%, +0.0313%]","0.520000","-","","",""
"cng_order_rate_nc","Metric","N/A","","mean","0.677582","14,250,410","0.680470","13,824,741","0.000594","[-0.000629, +0.001818]","0.000877","[-0.0928%, +0.2682%]","0.340783","-","0.952797","0.000836","0.002249","0.679071","13,824,745","0.000787","[-0.000435, +0.002009]","0.001161","[-0.0642%, +0.2965%]","0.206792","-","0.952797","0.001107","0.002977"
"consumer_mto","Metric","N/A","","mean","0.056261","14,250,410","0.056418","13,824,741","0.000074","[-0.000495, +0.000644]","0.001322","[-0.8801%, +1.1446%]","0.797971","-","0.700062","0.000926","0.000957","0.056320","13,824,745","0.000053","[-0.000327, +0.000432]","0.000939","[-0.5805%, +0.7682%]","0.785010","-","0.700062","0.000657","0.000679"
"consumer_order_frequency_l_28_d","Metric","N/A","","mean","5.165402","11,662,759","5.169587","11,318,649","0.002209","[-0.002789, +0.007207]","0.000428","[-0.054%, +0.1395%]","0.386344","-","0.700214","0.000192","0.001547","5.167187","11,318,199","0.002995","[-0.001998, +0.007987]","0.000580","[-0.0387%, +0.1546%]","0.239773","-","0.700214","0.000261","0.002097"
"consumers_mau","Metric","N/A","","mean","0.818416","14,250,410","0.818724","13,824,741","0.000277","[+0.000007, +0.000547]","0.000339","[+0.0008%, +0.0669%]","0.044499","Significant","0.700164","0.000237","0.000111","0.818691","13,824,745","0.000158","[-0.000112, +0.000428]","0.000193","[-0.0137%, +0.0523%]","0.251269","-","0.700164","0.000135","0.000063"
